Item,ID,Ada,Adams,Bannock,BearLake,Benewah,Bingham,Blaine,Boise,Bonner,Bonneville,Boundary,Butte,Camas,Canyon,Caribou,Cassia,Clark,Clearwater,Custer,Elmore,Franklin,Fremont,Gem,Gooding,Idaho,Jefferson,Jerome,Kootenai,Latah,Lemhi,Lewis,Lincoln,Madison,Minidoka,NezPerce,Oneida,Owyhee,Payette,Power,Shoshone,Teton,TwinFalls,Valley,Washington,year
Farms by size:500 to 999 acres ,1873,31,42,58,45,24,86,11,6,16,59,21,24,10,91,60,62,6,20,28,34,87,61,25,47,77,56,49,35,78,38,22,39,38,51,54,60,58,13,44,-,31,122,7,47,2002
"Farms by size:1,000 acres or more ",2638,39,37,100,52,35,163,44,8,11,111,18,34,34,47,120,175,40,21,30,52,52,64,43,38,160,75,49,29,97,47,67,30,55,47,91,88,77,24,121,-,37,69,23,84,2002
Total cropland farms,18366,982,164,661,376,191,863,176,58,522,763,272,169,100,1627,368,504,44,165,214,236,579,369,528,483,539,608,441,564,700,235,151,220,396,511,267,378,443,477,281,32,271,979,91,368,2002
Total cropland acres,6152611,75491,35663,237265,112786,92411,390291,52670,6495,33430,333097,47706,64817,83930,203192,225260,422424,41729,38488,54736,124114,132313,168240,41984,120479,216533,220615,144525,67936,251789,70253,156846,69758,152161,203793,196376,237572,153094,57969,331400,2050,91979,268011,16588,104352,2002
Total cropland Harvested cropland farms ,13444,714,127,403,289,121,632,121,42,370,520,227,130,68,1168,223,419,27,120,149,173,379,253,374,391,423,483,357,390,408,182,118,184,299,426,204,261,367,359,191,18,197,786,56,295,2002
Total cropland Harvested cropland acres,4313288,56228,11380,107780,66239,70768,307120,33114,1853,18052,214851,40440,47715,63323,170465,137693,284954,31335,29550,28311,84571,65785,131698,24132,100711,153105,191500,131177,45977,186646,39027,140002,49096,132623,194423,164422,105660,107343,41482,154951,414,68768,217786,5027,55791,2002
irrigated land farms,15901,1224,178,644,271,7,979,192,46,118,690,63,145,33,1946,198,533,32,7,206,227,441,336,640,557,60,669,523,180,39,270,4,239,382,577,97,229,470,540,187,6,193,1080,97,346,2002
irrigated land acres,3288522,70760,24798,55177,43499,41,322801,40474,2428,1844,141823,2750,58258,17484,205568,67219,262249,31085,40,54699,90641,46155,103065,32722,117586,1441,202620,139908,13280,351,75153,747,66362,115750,197243,938,32487,123457,54549,113698,24,55715,238320,19856,43457,2002
"Market value of agricultural products sold, $1,000",3908262,126729,7960,32197,12951,14413,268888,19223,2555,7150,119139,22822,48577,6364,268949,41744,382530,28061,5645,12730,292854,49409,72030,27467,352668,35247,158700,288768,14140,39862,16942,27752,53904,92672,190846,40402,16334,126773,106715,111545,89,24126,291853,3494,45045,2002
Market value of agricultural products sold Average per farm dollars ,156224,89246,25191,31259,30544,59804,211224,85818,28710,9623,123717,52829,246582,60037,120443,85191,552789,330124,29250,44668,804545,62385,139054,34248,531928,53163,202423,454752,17078,44789,55914,156792,192513,193470,274994,91614,38165,222019,167003,333969,1929,79886,225021,22397,91000,2002
"Market value of agricultural products sold Crops, including nursery and greenhouse crops $1,000 ",1787172,42974,803,23982,3290,13778,197963,8387,1858,4409,89478,19971,10553,5399,133556,(D),143604,24759,3808,3006,(D),7657,63936,8838,35090,23468,99528,75279,12046,37148,1283,26111,15329,86746,145277,35298,9199,37161,25250,79477,13,19998,107421,966,19876,2002
"Market value of agricultural products sold  Livestock, poultry, and their products, $1,000.. ",2121090,83755,7157,8215,9661,635,70925,10836,697,2741,29662,2851,38024,965,135393,(D),238926,3301,1837,9724,(D),41752,8093,18630,317578,11779,59172,213489,2094,2714,15659,1641,38575,5926,45569,5104,7136,89611,81465,32068,76,4127,184432,2528,25169,2002
"Farms by value of sales: Less than $2,500 ",11587,800,197,691,185,141,512,88,43,493,515,235,54,39,1067,251,210,38,84,141,176,375,266,448,183,269,315,211,530,547,103,60,86,184,205,216,197,165,275,140,29,143,402,100,178,2002
"Farms by value of sales: $2,500 to $4,999 ",2123,175,34,81,39,22,140,26,19,87,84,36,12,10,231,13,23,-,21,22,36,63,21,66,56,56,55,39,93,44,26,8,20,31,62,31,28,45,60,20,12,13,92,14,57,2002
"Farms by value of sales: $5,000 to $9,999 ",1998,138,8,61,42,18,103,19,9,61,72,41,20,9,198,22,37,4,32,13,30,61,30,72,66,50,72,58,79,58,31,6,26,31,64,29,28,41,70,16,3,21,93,6,50,2002
"Farms by value of sales: $10,000 to $24,999 ",2444,131,30,74,63,15,120,17,7,56,76,42,18,13,198,43,92,7,22,34,28,98,55,79,77,73,74,55,58,81,33,17,28,61,75,31,47,54,74,32,2,34,147,9,64,2002
"Farms by value of sales: $25,000 to $49,999 ",1604,49,24,43,34,9,80,17,4,19,61,24,32,6,154,21,62,9,10,20,17,39,31,55,58,64,54,41,31,25,26,10,27,32,47,22,36,53,43,21,-,27,121,11,35,2002
"Farms by value of sales: $50,000 to $99,999 ",1368,26,8,28,19,6,71,20,3,15,36,16,20,12,101,33,47,7,11,17,11,53,18,33,54,54,54,47,10,24,32,13,35,33,46,25,36,53,35,19,-,22,112,8,45,2002
"Farms by value of sales: $100,000 or more ",3893,101,15,52,42,30,247,37,4,12,119,38,41,17,284,107,221,20,13,38,66,103,97,49,169,97,160,184,27,111,52,63,58,107,195,87,56,160,82,86,-,42,330,8,66,2002
Government payments farms,7098,130,40,277,189,86,343,57,5,22,310,44,96,46,313,254,275,33,57,50,72,286,216,124,158,256,233,168,103,533,70,102,107,177,208,144,251,180,115,226,1,87,466,18,170,2002
Government payments 1000,93934,1201,224,3986,1585,860,5838,709,(D),117,6010,312,545,567,2359,4310,8285,747,586,292,1157,2733,2701,615,2569,2588,2982,2091,685,4496,446,1755,1061,3128,3314,2837,3552,1613,736,8402,(D),829,3548,91,1452,2002
Total income from farm-related sources farms,6643,271,93,135,93,67,376,60,20,200,203,115,51,36,485,155,246,33,68,72,82,143,151,178,228,215,196,185,178,302,91,93,96,116,244,149,88,152,159,117,6,87,408,43,157,2002
Total income from farm-related sources 1000,130540,3329,582,1439,495,2475,38047,1697,55,1599,2641,853,559,1222,7314,1769,10962,751,734,296,2106,976,1525,1389,4077,1597,2697,3055,1297,2775,341,1302,1455,1061,6272,5097,322,3163,2546,2664,151,419,6149,261,1022,2002
"Total farm production expenses,  $1,000",3440579,113070,8246,30901,14094,13642,229791,19755,2871,10389,94210,17384,38686,6429,234878,36194,336576,18059,4930,13732,305930,45620,62556,29296,326393,30966,124109,245562,13420,41021,16228,21342,49402,68707,155206,35416,14946,112964,79546,97975,400,22346,254713,4502,38175,2002
"Total farm production expenses, Average per farm dollars ",137535,79852,26178,30030,33163,56607,180370,87802,32257,13982,97728,40148,195383,60647,105185,74017,485679,214993,25542,48012,845112,57674,120531,36483,493041,46777,158505,386712,16208,46143,53557,118569,175807,143139,223640,80127,35002,197489,124681,293338,8696,74238,196386,28856,77122,2002
Net cash farm income of the operations farms,25016,1416,315,1029,425,241,1274,225,89,743,964,433,198,106,2233,489,693,84,193,286,362,791,519,803,662,662,783,635,828,889,303,180,281,480,694,442,427,572,638,334,46,301,1297,156,495,2002
Net cash farm income of the operations 1000,699093,11939,-783,8136,243,3442,84484,1622,84,-1458,33096,6545,11344,1757,43014,11140,66482,11625,1230,-1155,-11373,6018,14979,2485,39568,7314,39407,48444,1849,4313,1455,9210,7491,30029,44620,14299,5488,24341,31450,23614,-162,3129,48709,-195,9822,2002
Net cash farm income of the operations Average per farm dollars,27946,8432,-2485,7907,573,14283,66314,7207,948,-1962,34332,15115,57294,16575,19263,22780,95934,138391,6373,-4040,-31416,7608,28861,3095,59771,11048,50328,76289,2233,4852,4802,51164,26657,62561,64293,32352,12852,42555,49295,70701,-3517,10395,37555,-1248,19842,2002
Principal operator by primary occupation: Farming number,13857,643,175,446,236,133,705,141,44,390,487,228,129,71,1156,296,446,59,98,170,202,366,296,456,391,414,421,399,401,421,191,116,198,252,407,260,251,389,332,215,37,186,820,86,297,2002
Principal operator by primary occupation: Other number,11160,777,141,584,188,108,568,83,45,353,476,204,68,35,1077,194,246,26,95,115,162,426,222,346,272,249,363,236,427,469,112,61,82,227,287,181,177,182,307,119,9,116,477,70,198,2002
Principal operator by days worked off farm: Any number,14669,913,176,618,250,124,782,127,62,429,609,279,98,61,1367,270,365,40,105,164,247,512,302,464,353,365,480,354,487,490,134,87,163,309,389,234,230,305,428,174,11,187,750,79,296,2002
Principal operator by days worked off farm: 200 days or more number,10467,706,123,461,175,81,567,85,44,295,442,188,70,34,1080,172,260,33,64,111,179,430,218,326,256,209,379,253,356,362,66,53,118,222,292,147,146,197,325,115,7,112,472,42,194,2002
Livestock and poultry: Cattle and calves inventory farms ,10902,530,142,355,211,76,608,85,52,217,318,152,90,16,982,167,364,51,79,138,161,366,182,395,423,355,397,355,297,188,191,62,170,179,331,159,196,342,319,113,11,103,692,45,237,2002
Livestock and poultry: Cattle and calves inventory number,1989548,78777,16796,20892,23657,2724,84096,20031,3203,6241,50847,5215,15676,2389,121718,29862,175837,8745,3784,25528,135811,39886,13411,27391,210092,33899,65844,150501,5679,8423,41313,4318,43376,15081,37127,13005,21914,122757,65986,26045,132,10867,155742,5017,39913,2002
Livestock and poultry: Beef cows farms ,7902,340,126,249,180,64,424,65,49,178,245,122,69,13,674,119,244,49,74,117,112,197,139,276,216,305,293,187,241,156,174,55,124,130,189,133,159,265,228,92,10,83,494,35,208,2002
Livestock and poultry: Beef cows number,502024,9698,(D),11642,13530,1485,27298,(D),(D),3468,16518,2922,7710,1667,17934,15068,30611,5700,(D),16196,14844,7720,6799,12646,15174,18212,17774,12999,(D),(D),28690,(D),7572,7080,4289,(D),14134,41748,10431,(D),94,5484,29759,(D),17065,2002
Livestock and poultry: Milk cows farms,982,58,2,17,23,3,65,2,2,15,18,3,6,-,106,14,42,-,1,5,11,81,11,30,87,10,37,53,17,5,6,1,32,9,34,1,13,19,40,4,-,16,75,2,6,2002
Livestock and poultry: Milk cows number,390600,21424,(D),776,1567,5,10783,(D),(D),320,1023,256,546,-,29384,1133,22697,-,(D),5,(D),13046,640,2300,115026,345,4266,59855,24,(D),307,(D),15042,567,8932,(D),323,14047,11148,(D),-,989,51315,(D),500,2002
Livestock and poultry: Cattle and calves sold farms,9035,437,115,291,191,53,494,77,42,169,248,96,88,18,780,137,311,36,79,104,111,314,159,289,360,310,322,312,200,164,171,55,146,161,291,140,165,293,249,98,11,92,603,43,210,2002
Livestock and poultry: Cattle and calves sold number,1856342,72708,11949,11596,12999,934,(D),12853,1255,2980,40538,2576,(D),2104,100473,16620,228231,5923,1864,14877,(D),17993,7985,17997,105739,18712,73815,125724,2464,4156,26878,2453,20883,8662,32529,8630,13040,108042,92958,(D),97,5753,100524,3747,37110,2002
Livestock and poultry: Hogs and pigs inventory farms ,841,56,-,47,11,1,54,2,6,52,31,14,2,-,92,7,29,-,7,7,21,34,27,33,25,3,14,23,37,25,14,-,10,6,7,12,19,26,25,2,-,6,34,6,14,2002
Livestock and poultry: Hogs and pigs inventory number,23352,3775,-,340,45,(D),1494,(D),60,181,182,318,(D),-,1805,58,1395,-,50,28,327,201,234,372,377,(D),341,326,440,1658,167,-,115,25,(D),219,185,113,539,(D),-,49,6395,18,251,2002
Livestock and poultry: Hogs and pigs sold farms ,980,64,8,61,5,4,46,3,7,59,27,22,4,-,75,3,35,-,-,12,23,33,23,38,27,10,31,30,67,29,15,1,10,5,26,12,18,27,33,7,-,8,46,9,17,2002
Livestock and poultry: Hogs and pigs sold number,39482,5673,90,599,21,17,2328,(D),68,619,519,544,18,-,3155,(D),2125,-,-,38,301,501,362,1010,432,(D),383,751,1115,1700,386,(D),666,42,1682,187,145,113,1129,225,-,32,9752,28,480,2002
Livestock and poultry: Sheep and lambs inventory farms,1310,82,14,58,17,16,57,9,2,61,39,9,15,2,142,32,33,4,6,23,29,28,23,46,48,30,32,19,51,47,23,3,17,14,37,34,19,39,36,6,2,4,59,6,37,2002
Livestock and poultry: Sheep and lambs inventory number,255858,2918,613,1974,3275,2085,10329,31898,(D),983,3272,583,6581,(D),23769,21843,11512,(D),47,856,5059,1318,(D),3218,18052,3610,14531,520,564,2892,2655,98,537,361,24316,783,1084,5154,1284,36,(D),98,11857,(D),14599,2002
Livestock and poultry: Layers 20 weeks old and older inventory farms,1318,115,9,34,12,12,53,8,15,90,23,7,2,-,157,13,40,-,15,13,41,30,1,56,23,26,31,38,76,47,22,2,9,15,53,32,16,18,37,15,8,5,67,3,29,2002
Livestock and poultry: Layers 20 weeks old and older inventory number,907873,1931,96,573,230,272,769,301,295,1576,448,93,(D),-,2631,44,583,-,195,200,1459,(D),(D),(D),375,589,494,1769,1440,805,672,(D),191,319,(D),525,323,719,1157,148,234,128,1108,45,261,2002
Livestock and poultry: Broilers and other meat-type chickens sold farms,131,14,-,3,1,3,7,-,-,8,-,-,-,-,16,-,-,-,2,1,11,2,-,5,2,1,1,4,8,1,-,-,3,2,5,1,-,8,5,1,-,1,10,-,5,2002
Livestock and poultry: Broilers and other meat-type chickens sold number,7475,483,-,(D),(D),75,225,-,-,333,-,-,-,-,860,-,-,-,(D),(D),1310,(D),-,195,(D),(D),(D),235,181,(D),-,-,232,(D),340,(D),-,1060,220,(D),-,(D),677,-,345,2002
Selected crops harvested: Corn for grain farms,462,28,-,-,-,-,1,1,-,-,-,1,-,-,150,-,3,-,-,-,4,2,-,34,33,-,-,11,-,-,-,-,2,-,2,2,-,54,35,8,-,-,71,-,20,2002
Selected crops harvested: Corn for grain acres,42209,1574,-,-,-,-,(D),(D),-,-,-,(D),-,-,13822,-,235,-,-,-,1879,(D),-,1765,4119,-,-,1000,-,-,-,-,(D),-,(D),(D),-,5404,4608,3163,-,-,2899,-,755,2002
Selected crops harvested: Corn for grain bushels,6561733,245076,-,-,-,-,(D),(D),-,-,-,(D),-,-,2246858,-,45170,-,-,-,(D),(D),-,262128,633538,-,-,138690,-,-,-,-,(D),-,(D),(D),-,854560,796363,406527,-,-,406776,-,101442,2002
Selected crops harvested: Corn for silage or greenchop farms,1021,75,2,1,-,-,14,1,-,-,14,-,-,-,134,1,61,1,-,-,11,33,4,39,118,-,37,100,2,-,-,-,20,5,27,-,3,55,44,4,-,-,198,-,17,2002
Selected crops harvested: Corn for silage or greenchop acres,134133,7835,(D),(D),-,-,2971,(D),-,-,2387,-,-,-,12137,(D),12506,(D),-,-,2345,2574,262,1767,31413,-,3047,18325,(D),-,-,-,3893,190,2900,-,120,6344,3033,(D),-,-,18496,-,705,2002
Selected crops harvested: Corn for silage or greenchop tons,3490255,203671,(D),(D),-,-,73344,(D),-,-,63126,-,-,-,314120,(D),314893,(D),-,-,50335,60969,5792,41427,891820,-,60976,498140,(D),-,-,-,98644,4814,73392,-,2400,157769,70250,(D),-,-,467349,-,19138,2002
Selected crops harvested: Wheat for grain farms,2736,65,2,61,24,36,205,3,-,1,101,33,13,4,231,56,169,7,24,2,20,95,61,33,25,156,81,82,23,162,-,80,20,93,120,124,81,49,44,101,-,14,167,-,68,2002
Selected crops harvested: Wheat for grain acres,1201942,6044,(D),61108,13289,41110,113117,(D),-,(D),83296,16281,2951,458,22812,30868,104507,7288,11367,(D),7222,13867,18843,1892,3133,70936,24298,10163,7903,99365,-,73197,7078,32601,35062,86560,55964,6362,4614,89981,-,4362,25543,-,7627,2002
Selected crops harvested: Wheat for grain bushels,78507447,586556,(D),2951364,285253,2357766,10556904,(D),-,(D),3436018,1153259,233384,7885,2370423,1368518,7380967,703356,603037,(D),576311,408448,1495868,180027,279547,4658673,2105981,999978,382161,6848030,-,4727010,581947,2500607,3141518,5813221,1011604,611112,419194,4310200,-,150289,2654181,-,606711,2002
Selected crops harvested:  Winter wheat for grain farms,1923,49,2,45,7,36,126,-,-,-,40,27,1,-,197,32,130,-,23,-,11,87,2,31,15,149,11,48,17,153,-,77,12,10,51,121,57,39,39,76,-,6,135,-,61,2002
Selected crops harvested: Wheat for grain Winter wheat for grain acres,675290,4024,(D),18617,749,25165,63884,-,-,-,(D),9195,(D),-,19125,(D),75547,-,8217,-,2967,13300,(D),(D),2179,55036,(D),6194,5100,75316,-,53018,(D),(D),11723,68907,(D),4857,4107,44540,-,624,22438,-,6953,2002
Selected crops harvested: Wheat for grain Winter wheat for grain bushels,47642293,419656,(D),1388593,14028,1641918,6228107,-,-,-,(D),736480,(D),-,2056873,(D),4935727,-,461471,-,233841,394353,(D),(D),209010,3903255,(D),661422,267585,5528296,-,3690355,(D),(D),1126554,5024287,(D),504399,372541,2132187,-,28499,2441388,-,568843,2002
Selected crops harvested: Wheat for grain Other spring wheat for grain farms,1505,24,-,45,19,28,142,3,-,1,86,21,13,4,58,34,81,7,14,2,11,13,60,2,13,77,74,43,12,91,-,52,14,89,89,70,49,19,8,66,-,11,49,-,11,2002
Selected crops harvested: Wheat for grain Other spring wheat for grain  acres,518218,2020,-,42491,12540,15945,48083,(D),-,(D),48036,7086,(D),458,3687,22737,28464,7288,3150,(D),4255,567,(D),(D),954,15900,21730,(D),2803,24049,-,20179,4248,31161,21640,17653,31788,1505,507,43788,-,3738,3105,-,674,2002
Selected crops harvested: Wheat for grain Other spring wheat for grain  bushels,30244525,166900,-,1562771,271225,715848,4226326,(D),-,(D),2231857,416779,(D),7885,313550,856109,2404982,703356,141566,(D),342470,14095,(D),(D),70537,755418,1892926,(D),114576,1319734,-,1036655,361307,2414573,1879038,788934,589417,106713,46653,2042688,-,121790,212793,-,37868,2002
Selected crops harvested: Wheat for grain Durum wheat for grain farms,29,-,-,-,-,-,4,-,-,-,1,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,2,1,6,-,1,-,-,6,-,-,-,-,-,2002
Selected crops harvested: Wheat for grain Durum wheat for grain acres,8434,-,-,-,-,-,1150,-,-,-,(D),-,-,-,-,(D),496,-,-,-,-,-,-,-,-,-,(D),(D),-,-,-,-,(D),(D),1699,-,(D),-,-,1653,-,-,-,-,-,2002
Selected crops harvested: Wheat for grain Durum wheat for grain bushels,620629,-,-,-,-,-,102471,-,-,-,(D),-,-,-,-,(D),40258,-,-,-,-,-,-,-,-,-,(D),(D),-,-,-,-,(D),(D),135926,-,(D),-,-,135325,-,-,-,-,-,2002
Selected crops harvested: Oats for grain farms,393,5,2,10,11,5,15,4,-,9,12,9,7,2,24,9,8,2,5,2,1,18,11,7,4,48,14,1,24,12,5,25,3,3,12,11,11,7,3,4,-,2,14,9,3,2002
Selected crops harvested: Oats for grain acres,18179,40,(D),248,334,340,611,298,-,262,576,382,311,(D),426,281,270,(D),76,(D),(D),566,301,100,159,2850,567,(D),1552,321,137,3062,78,36,479,560,455,126,19,98,-,(D),316,985,200,2002
Selected crops harvested: Oats for grain  bushels,1244462,3340,(D),18439,15870,20363,45735,26076,-,12453,35512,23067,23200,(D),37614,12550,23512,(D),4756,(D),(D),39829,28775,9160,15277,211115,35203,(D),82196,18474,8145,226679,5800,2990,47364,33535,14041,8104,1465,3590,-,(D),24733,67725,(D),2002
Selected crops harvested: Barley for grain farms,2447,35,2,46,62,17,85,23,-,2,153,23,30,33,51,123,97,4,19,3,6,88,121,17,27,126,152,97,8,74,7,56,21,121,146,74,60,25,14,22,-,72,292,-,13,2002
Selected crops harvested: Barley for grain acres,634476,1544,(D),8527,4947,6041,22531,9783,-,(D),62636,4387,8041,14634,2558,71453,25945,1840,3333,470,1328,6037,67906,527,2007,22807,37656,23127,495,11191,156,18625,2352,48153,35673,18627,12907,1948,386,5336,-,38533,28858,-,989,2002
Selected crops harvested: Barley for grain bushels,47865297,155793,(D),285262,175165,395185,1981955,874588,-,(D),5387176,334314,670035,325486,230670,4080067,2677963,155368,186214,33829,126901,351332,4692511,40684,210001,1364938,3669507,2582208,40884,764272,(D),1255469,211981,3470195,3519143,1326376,317900,165229,31337,386613,-,2372558,2952952,-,43436,2002
Selected crops harvested: Sorghum for grain farms,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2002
Selected crops harvested: Sorghum for grain acres,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,2002
Selected crops harvested: Sorghum for grain bushels,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,2002
Selected crops harvested: Sorghum for silage or greenchop farms,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2002
Selected crops harvested: Sorghum for silage or greenchop acres,(D),-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2002
Selected crops harvested: Sorghum for silage or greenchop tons,(D),-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2002
"Selected crops harvested:  Dry edible beans, excluding chickpeas and limas farms",762,19,-,-,-,-,-,-,-,-,-,-,-,-,130,-,50,-,5,-,7,3,-,6,15,2,-,85,-,17,-,1,4,-,65,27,-,32,13,-,-,-,276,-,5,2002
"Selected crops harvested:  Dry edible beans, excluding chickpeas and limas acres",79791,1046,-,-,-,-,-,-,-,-,-,-,-,-,10342,-,6165,-,(D),-,860,(D),-,(D),885,(D),-,10997,-,2320,-,(D),550,-,6236,7574,-,2764,945,-,-,-,26929,-,455,2002
"Selected crops harvested:  Dry edible beans, excluding chickpeas and limas cwt",1665528,24910,-,-,-,-,-,-,-,-,-,-,-,-,222343,-,137452,-,10456,-,20009,2558,-,6189,21248,(D),-,243673,-,32510,-,(D),9775,-,126248,93599,-,62685,18101,-,-,-,619830,-,11282,2002
Selected crops harvested: Vegetables harvested for sale Potatoes farms,818,5,-,13,-,-,121,-,-,12,47,1,9,-,64,20,76,2,-,2,17,-,58,2,15,1,32,42,1,1,1,-,4,82,62,-,-,19,15,39,-,13,35,1,6,2002
Selected crops harvested: Vegetables harvested for sale Potatoes acres,364229,898,-,6324,-,-,68767,-,-,11,29436,(D),1161,-,9005,6468,28707,(D),-,(D),10082,-,24351,(D),5590,(D),27788,12199,(D),(D),(D),-,(D),34617,35842,-,-,4375,1973,26881,-,7066,14533,(D),597,2002
Selected crops harvested: Vegetables harvested for sale Potatoes cwt,129596579,448739,-,1994966,-,-,22848347,-,-,535,9320020,(D),283371,-,4167876,1904364,11821756,(D),-,(D),4282338,-,8193650,(D),2273788,(D),9876635,4940717,(D),(D),(D),-,393267,10911201,13503260,-,-,1815796,809859,9316408,-,1619756,5896381,(D),220455,2002
"Selected crops harvested:  Forage - land used for all hay and haylage, grass silage, and greenchop farms",10949,593,124,352,277,80,481,115,29,289,411,140,125,65,910,156,327,26,111,147,141,349,201,302,328,364,439,303,312,265,173,82,168,205,323,120,227,335,280,116,17,155,671,50,265,2002
"Selected crops harvested:  Forage - land used for all hay and haylage, grass silage, and greenchop acres",1335171,25745,11139,30407,47844,5132,72969,21933,1761,16605,36510,12504,35237,45358,43466,28854,68230,16696,9895,26648,41652,39919,19061,16129,47588,39109,97958,40939,15089,20338,38641,8836,28302,17039,29895,8555,33856,72524,16383,11749,413,18779,72290,3647,39547,2002
"Selected crops harvested:  Forage - land used for all hay and haylage, grass silage, and greenchop tons, dry equivalent",4856156,113431,22105,74250,67015,7564,295245,75433,3474,28644,125592,31919,126889,63093,234923,70194,302970,72668,17820,65231,199248,125383,60928,65775,296800,65024,450048,228307,26132,41567,90027,16872,103696,65535,150360,20540,91616,319667,75579,34511,501,44080,362865,6323,116312,2002
"Selected crops harvested:  Sunflower seed, all farms",3,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2002
"Selected crops harvested:  Sunflower seed, all acres",(D),-,-,-,-,-,-,(D),-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,2002
"Selected crops harvested:  Sunflower seed, all pounds",(D),-,-,-,-,-,-,(D),-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,2002
