Item,ID,Ada,Adams,Bannock,BearLake,Benewah,Bingham,Blaine,Boise,Bonner,Bonneville,Boundary,Butte,Camas,Canyon,Caribou,Cassia,Clark,Clearwater,Custer,Elmore,Franklin,Fremont,Gem,Gooding,Idaho,Jefferson,Jerome,Kootenai,Latah,Lemhi,Lewis,Lincoln,Madison,Minidoka,NezPerce,Oneida,Owyhee,Payette,Power,Shoshone,Teton,TwinFalls,Valley,Washington,year
Farms number,25017,1420,316,1030,424,241,1273,224,89,743,963,432,197,106,2233,490,692,85,193,285,364,792,518,802,663,663,784,635,828,890,303,177,280,479,694,441,428,571,639,334,46,302,1297,156,495,2002
Land in farms acres,11767294,223388,196461,357104,211530,137791,821163,225936,50074,90858,477784,76506,121331,134168,271992,426973,744260,177822,70724,131571,346034,243807,287494,221200,194827,638640,305305,186319,154217,340115,173578,216562,127853,189990,228459,343462,363152,571051,154562,425221,4310,124613,441121,65501,472465,2002
Average size of farm acres ,470,157,622,347,499,572,645,1009,563,122,496,177,616,1266,122,871,1076,2092,366,462,951,308,555,276,294,963,389,293,186,382,573,1224,457,397,329,779,848,1000,242,1273,94,413,340,420,954,2002
Median size of farm acres,100,19,180,78,190,160,77,200,130,60,80,80,284,800,36,394,285,895,160,235,120,149,195,36,80,306,88,89,60,140,200,565,240,100,100,300,285,200,47,701,55,153,110,60,140,2002
Value of land and buildings: Average per farm dollars ,613303,496948,335413,273174,409502,617245,832438,1271837,545144,399591,559753,485079,593220,882029,464797,619359,1087864,1337246,442562,739598,676926,318843,599950,449989,795709,777859,643066,652684,487329,579759,652328,976948,605784,914039,670789,773951,521988,779529,402068,1135300,331599,1205545,614239,662593,709632,2002
Value of land and buildings: Average per acre dollars ,1270,3471,568,731,790,1212,1151,1304,1010,2909,1303,2391,879,697,4219,676,986,647,1285,1836,719,1078,1148,1234,2535,745,1758,1887,2265,1400,1228,830,943,2283,2000,853,667,689,1735,986,3442,2462,1946,1524,736,2002
Estimated market value of all machinery and equipment : Average per farm dollars,91746,44795,42670,46676,69509,73249,144797,72071,25083,22952,86224,69156,80485,140652,78116,99535,207676,147264,36663,52701,124954,61999,113951,36071,137759,81943,98575,153933,30418,61583,59888,163864,148280,179093,154999,168315,66516,127029,79528,210893,34571,74977,120236,36737,65891,2002
Farms by size: 1 to 9 acres ,4871,460,12,281,24,26,359,24,14,101,222,89,5,1,713,39,156,6,9,27,86,170,70,239,134,13,183,146,125,69,40,1,19,104,152,102,31,73,130,24,7,22,288,19,56,2002
Farms by size:10 to 49 acres ,7439,625,122,326,106,52,357,84,28,342,316,148,51,17,853,78,104,12,54,83,95,172,118,291,203,117,217,185,355,218,99,21,61,128,203,79,68,126,261,38,20,88,325,69,124,2002
Farms by size:50 to 179 acres ,4917,202,44,166,101,64,207,32,22,177,152,102,43,28,349,109,107,9,52,51,52,186,113,142,157,176,170,111,185,288,40,29,70,93,121,48,97,128,151,67,10,81,258,25,102,2002
Farms by size:180 to 499 acres ,3279,63,59,99,96,40,101,29,11,96,103,54,40,16,180,84,88,12,37,66,45,125,92,62,84,120,83,95,99,140,39,37,61,61,120,67,84,109,60,40,9,43,235,13,82,2002
