Item,ID,Ada,Adams,Bannock,BearLake,Benewah,Bingham,Blaine,Boise,Bonner,Bonneville,Boundary,Butte,Camas,Canyon,Caribou,Cassia,Clark,Clearwater,Custer,Elmore,Franklin,Fremont,Gem,Gooding,Idaho,Jefferson,Jerome,Kootenai,Latah,Lemhi,Lewis,Lincoln,Madison,Minidoka,NezPerce,Oneida,Owyhee,Payette,Power,Shoshone,Teton,TwinFalls,Valley,Washington,year
"Farms by value of sales: Less than $2,500 ",5329,457,83,251,101,79,289,43,19,255,200,115,38,20,446,65,104,10,80,61,91,123,91,140,106,166,164,130,305,157,75,21,38,88,98,85,79,76,128,58,24,48,194,42,86,1987
"Farms by value of sales: $2,500 to $4,999 ",2519,182,34,83,49,26,146,23,13,89,87,29,15,5,247,21,61,9,28,28,32,78,46,63,62,83,94,78,107,78,30,7,14,55,59,49,39,38,69,33,9,26,114,14,67,1987
"Farms by value of sales: $5,000 to $9,999 ",2627,178,21,88,75,22,152,25,8,63,106,46,15,19,245,35,61,10,36,27,31,71,50,77,93,78,84,83,73,59,36,11,34,61,83,34,42,44,68,28,7,18,173,5,52,1987
"Farms by value of sales: $10,000 to $24,999 ",3646,175,56,88,102,20,232,29,15,58,134,40,43,15,276,64,129,14,23,43,50,109,86,95,128,139,131,156,55,80,59,19,60,71,118,39,69,91,92,41,4,30,268,8,92,1987
"Farms by value of sales: $25,000 to $49,999 ",2781,84,23,52,43,22,147,30,9,24,90,25,38,20,213,63,106,6,20,35,38,74,65,54,86,108,105,134,21,66,63,20,64,56,114,46,62,93,74,21,1,46,246,21,53,1987
"Farms by value of sales: $50,000 to $99,999 ",2787,59,20,48,35,8,166,26,5,17,120,18,32,16,207,85,131,15,23,41,22,84,80,53,84,104,79,136,9,89,61,33,52,49,125,56,41,81,48,42,1,57,262,8,59,1987
"Farms by value of sales: $100,000 or more ",4453,158,20,45,41,28,334,45,4,10,168,24,43,22,375,95,281,39,6,26,77,102,128,57,170,96,166,192,41,115,41,80,76,130,261,96,31,150,93,127,-,43,319,15,83,1987
Operators by principal occupation: Farming ,14550,569,133,268,243,112,852,137,36,245,525,154,151,78,1176,294,609,78,103,171,201,373,345,298,509,451,437,587,275,392,241,143,256,305,629,263,226,437,347,234,19,174,1085,63,326,1987
Operators by principal occupation: Other ,9592,724,124,387,203,93,614,84,37,271,380,143,73,39,833,134,264,25,113,90,140,268,201,241,220,323,386,322,336,252,124,48,82,205,229,142,137,136,225,116,27,94,491,50,166,1987
Operators by days worked off farm: Any ,12614,789,153,425,257,106,787,123,48,307,484,187,102,61,1044,177,405,44,126,133,157,336,285,298,315,397,491,460,394,330,168,76,147,282,394,170,181,254,285,160,26,132,814,70,234,1987
Operators by days worked off farm: 200 days or more,7555,558,82,299,160,62,533,63,25,168,311,106,62,28,687,94,213,25,67,80,104,224,164,179,168,199,321,250,261,183,90,42,73,173,198,94,117,128,184,103,20,72,422,37,126,1987
"Average age of operator, years.",51.1,51.7,52.4,51.7,54,52.8,49,50.4,52.8,54.2,51.8,52.2,51,53.2,51,53,49.5,52.4,51.6,51,52.7,52.3,51.6,53.5,50.9,50.7,48.8,50.1,52.2,51.2,53.1,51.3,48.7,50.9,48.1,52.9,52.3,50.1,53,49.3,54.2,54.1,49,57.3,52.5,1987
"Total farm production expenses,  $1,000",1862264,93647,7030,18350,10907,7346,122501,15556,1494,6745,72053,9433,12493,6313,216410,25941,144161,22175,2870,8935,121132,29804,47662,15892,94332,25337,58283,102386,17252,29855,12530,14824,22193,41446,67328,24976,10730,56843,35213,54979,372,16642,117916,6399,33575,1987
"Total farm production expenses, Average per farm dollars ",77148,72426,27355,28015,24455,35836,83618,70390,20472,13072,79529,31762,55772,53498,107667,60752,165133,215296,13287,34364,355227,46497,87292,29484,129400,32735,70817,112760,28235,46358,34329,77613,65661,81266,78471,61670,29641,99202,61562,157082,8096,62097,74820,56625,68381,1987
Livestock and poultry: Cattle and calves inventory farms ,13481,682,179,367,312,114,833,116,47,290,444,153,123,48,1030,207,485,73,136,186,179,368,264,327,493,565,517,493,306,303,295,86,254,240,403,192,200,367,280,150,27,140,869,68,270,1987
Livestock and poultry: Cattle and calves inventory number,1772756,90960,24201,24475,31906,5018,88660,27474,5264,14129,51326,7532,21436,9431,130677,32096,107828,26772,4852,39959,83416,36101,34530,38629,83961,49736,75450,68880,8498,12385,55743,6466,32361,23781,34060,16082,25255,106755,26565,28744,769,16193,109660,10538,44202,1987
Livestock and poultry: Beef cows farms ,8604,364,133,238,233,93,528,92,41,226,293,114,99,37,520,146,288,65,120,166,135,107,186,192,236,481,322,194,237,256,243,79,112,160,152,161,168,259,142,123,24,98,496,46,199,1987
Livestock and poultry: Beef cows number,558229,11390,9807,10578,13425,2640,32102,11126,3251,6170,19795,3114,10014,(D),16413,13791,26420,(D),2312,23307,19931,4940,8812,13414,18214,23829,18532,9466,4045,6416,32815,3133,6291,9568,6640,8201,13605,40430,7188,10034,385,5554,35381,3724,16912,1987
Livestock and poultry: Milk cows farms,2769,148,36,65,79,17,171,26,7,43,65,19,23,1,197,55,123,4,21,30,22,174,46,79,161,67,111,113,43,21,53,4,120,64,93,16,31,67,77,18,4,40,144,7,64,1987
Livestock and poultry: Milk cows number,157665,12075,361,2230,3098,47,8703,779,7,681,1954,341,560,(D),14289,2311,7865,(D),160,111,489,11352,1582,3063,18053,584,5294,20460,385,258,1190,7,6268,2085,5494,140,950,4581,4778,483,6,1424,11469,9,1445,1987
Livestock and poultry: Cattle and calves sold farms,13321,699,185,352,307,103,818,115,49,272,422,142,121,44,1019,206,476,74,125,184,178,363,257,317,494,575,498,522,275,284,296,86,263,240,390,192,199,363,282,146,23,138,883,73,271,1987
Livestock and poultry: Cattle and calves sold number,1502218,114832,19363,12168,15327,2553,54073,17979,3112,6667,50372,3960,10581,6318,178598,18320,111477,17540,2602,21657,137476,16094,31888,19739,82823,29124,51191,81639,4416,5810,30296,2809,17687,11971,19512,9048,10420,78624,23301,26543,420,8445,77397,13328,44718,1987
Livestock and poultry: Hogs and pigs inventory farms ,1258,65,14,42,14,12,76,12,8,29,59,22,13,1,77,19,71,1,9,11,13,32,23,28,32,70,52,46,33,29,10,10,33,27,55,17,13,23,32,11,2,9,75,4,24,1987
Livestock and poultry: Hogs and pigs inventory number,76882,5568,122,894,171,2501,4031,306,233,194,4567,4804,183,(D),3873,1021,5089,(D),(D),(D),220,1686,631,3340,4005,8798,1293,2827,981,4600,126,1362,459,1085,1819,826,848,661,1068,88,(D),33,2669,15,2137,1987
Livestock and poultry: Hogs and pigs sold farms ,1113,59,10,33,11,15,61,7,7,26,52,27,9,1,74,16,64,1,7,9,8,27,20,23,25,73,43,39,36,29,7,10,23,20,50,18,10,16,30,10,1,7,72,3,24,1987
Livestock and poultry: Hogs and pigs sold number,119188,7082,211,1615,202,3464,4980,354,507,1747,9493,7665,167,(D),5132,2054,7620,(D),(D),(D),178,2718,579,4010,6198,14245,1181,5335,1413,7077,111,1789,694,1555,3161,2030,(D),650,1338,127,(D),(D),3958,(D),2619,1987
Livestock and poultry: Sheep and lambs inventory farms,1464,54,29,35,45,8,95,22,2,29,65,16,25,5,101,29,58,16,9,39,28,36,43,30,37,57,55,41,31,28,44,2,22,27,37,17,20,37,34,20,1,6,97,5,27,1987
Livestock and poultry: Sheep and lambs inventory number,316112,2517,2222,4024,6291,99,17365,20418,(D),1008,10537,1121,10031,(D),8447,13254,18793,14324,292,3548,9644,2514,16007,1327,32318,9351,22705,9432,513,1159,4728,(D),1538,1467,25770,311,2421,7710,3195,1856,(D),583,18871,82,6158,1987
Livestock and poultry: Chickens 3 months old or older inventory farms,1839,103,51,60,24,22,88,7,8,77,55,44,13,9,151,21,37,4,34,23,26,24,36,54,70,83,38,73,91,49,24,15,37,20,28,25,13,38,34,10,11,11,125,10,63,1987
Livestock and poultry: Chickens 3 months old or older inventory number,1425572,(D),933,(D),1570,522,1756,184,132,1997,1230,1329,315,210,7170,1175,710,54,628,326,699,(D),818,1358,1624,10051,614,1820,2288,(D),1049,376,(D),(D),(D),599,375,893,835,156,124,307,3511,1596,1239,1987
Livestock and poultry: Broilers and other meat-type chickens sold farms,85,4,-,-,-,1,8,-,2,2,2,2,2,1,6,-,-,-,-,1,1,2,1,4,3,2,1,3,4,2,-,-,-,1,5,1,2,2,3,1,1,-,12,1,2,1987
Livestock and poultry: Broilers and other meat-type chickens sold number,8733,515,-,-,-,(D),470,-,(D),(D),(D),(D),(D),(D),1485,-,-,-,-,(D),(D),(D),(D),597,49,(D),(D),(D),333,(D),-,-,-,(D),795,(D),(D),(D),(D),(D),(D),-,811,(D),(D),1987
Selected crops harvested: Wheat for grain farms,7706,159,20,153,115,59,606,56,1,11,373,70,62,45,480,195,411,30,59,10,83,218,219,102,156,320,254,359,90,344,4,145,113,272,396,229,188,124,128,200,1,66,599,7,174,1987
Selected crops harvested: Wheat for grain acres,1239480,12824,921,53429,10783,22171,131338,5214,(D),635,79430,13539,5998,6430,23776,35580,98301,22600,9322,291,14720,20655,19522,3117,11776,60479,28690,24165,17093,88407,(D),49959,11442,30127,38737,78653,41575,7407,5045,94873,(D),7934,39738,320,12078,1987
Selected crops harvested: Wheat for grain bushels,83250152,749290,42540,1772897,306768,1455374,10630875,327068,(D),35837,4651785,912443,376877,141458,2072266,1506872,7048498,1566587,560933,(D),1182333,917510,1279637,246764,973057,4304514,2078253,2088279,1044615,6595679,15930,3509523,935257,2045264,3329070,5942291,1611693,613120,390242,5480142,(D),377781,3388952,23207,693749,1987
Selected crops harvested: Barley for grain farms,7852,204,31,184,185,50,433,105,8,8,456,54,106,52,408,258,324,30,54,44,48,320,288,84,170,286,405,268,60,299,55,136,182,290,396,185,195,153,107,90,1,150,574,6,110,1987
Selected crops harvested: Barley for grain acres,833225,7200,835,19801,12001,6671,41749,14369,(D),456,66016,10254,15752,13525,14323,75482,34326,6816,4905,3734,3295,21174,71147,1837,6963,32697,39964,11952,4818,31907,1810,27052,9144,52085,25000,22412,19240,7795,2581,14169,(D),41725,30283,483,5044,1987
Selected crops harvested: Barley for grain bushels,59437911,579379,36625,930464,615945,359867,3265755,1173137,(D),19060,4716829,632116,1218648,392042,1295847,5038410,3286164,575670,296028,227260,239054,1335579,4768684,119683,588224,1971819,3373311,1147321,249430,2154124,94381,1806156,722457,3712601,2474945,1529791,764944,642532,217859,726183,(D),2809097,2980564,32609,292177,1987
"Selected crops harvested: Dry edible beans, excluding dry limas farms",2055,43,-,-,-,-,1,-,-,-,-,-,-,1,288,-,195,-,1,-,41,-,-,5,73,1,-,299,-,8,-,-,19,-,195,14,-,92,30,-,-,-,737,-,12,1987
"Selected crops harvested: Dry edible beans, excluding dry limas acres",161004,2672,-,-,-,-,(D),-,-,-,-,-,-,(D),16160,-,14288,-,(D),-,8321,-,-,175,4547,(D),-,24585,-,887,-,-,1961,-,9622,1445,-,6286,1487,-,-,-,67917,-,318,1987
"Selected crops harvested: Dry edible beans, excluding dry limas cwt",3113900,49735,-,-,-,-,(D),-,-,-,-,-,-,(D),335618,-,279475,-,(D),-,138684,-,-,2448,95352,(D),-,464953,-,10629,-,-,24088,-,182202,24469,-,123495,28537,-,-,-,1345174,-,6934,1987
Selected crops harvested: Irish potatoes farms,1792,9,-,17,-,-,313,6,-,8,170,1,22,1,82,21,127,6,1,4,33,3,169,1,68,1,78,93,3,1,1,-,19,156,116,2,1,39,12,87,-,38,76,3,4,1987
Selected crops harvested: Irish potatoes acres,352670,1145,-,2305,-,-,67697,811,-,319,41956,(D),3031,(D),5387,4353,30437,11285,(D),250,10704,(D),30667,(D),12947,(D),14415,13315,(D),(D),(D),-,2889,39436,12558,(D),(D),2501,591,24123,-,7837,10812,134,359,1987
Selected crops harvested: Irish potatoes cwt,99392607,327576,-,628925,-,-,19088304,230620,-,60265,10055920,(D),511058,(D),1986845,1076850,10668777,3020780,(D),47000,3653494,6300,6873900,(D),4613280,(D),3422098,4746018,(D),(D),(D),-,952265,9561031,4366757,(D),(D),881356,246960,7374170,-,1259001,3459730,31100,145647,1987
Selected crops harvested: Sugar beets for sugar farms,1397,24,-,-,-,-,42,4,-,-,-,-,-,-,307,-,183,-,-,-,35,-,-,2,30,-,-,82,-,-,-,-,23,-,326,-,-,82,42,35,-,-,133,1,46,1987
Selected crops harvested: Sugar beets for sugar acres,168352,2642,-,-,-,-,7612,2071,-,-,-,-,-,-,30918,-,27382,-,-,-,9855,-,-,(D),2535,-,-,8692,-,-,-,-,4386,-,33306,-,-,10128,4507,8166,-,-,13350,(D),2460,1987
Selected crops harvested: Sugar beets for sugar tons,4319597,73049,-,-,-,-,188568,46776,-,-,-,-,-,-,944467,-,623752,-,-,-,265734,-,-,(D),58940,-,-,202573,-,-,-,-,98358,-,805239,-,-,270072,144286,205594,-,-,314544,(D),70041,1987
"Selected crops harvested: Sugar beets for sugar Hay— alfalfa, other tame, small grain, wild, grass silage, green chop, etc, farms",13717,713,143,365,345,107,685,150,37,356,472,210,155,83,999,225,460,55,152,173,172,458,269,298,439,501,554,554,350,341,248,98,214,254,410,167,238,330,301,136,24,182,963,43,288,1987
"Selected crops harvested: Sugar beets for sugar Hay— alfalfa, other tame, small grain, wild, grass silage, green chop, etc, acres",1173475,32275,12272,30940,52554,6861,51763,19676,2647,23840,36261,11470,31510,47751,36271,29322,50173,27993,8073,32020,21097,38528,17567,14973,32078,40488,74298,37165,14181,14866,41723,7007,20545,16177,19232,8711,24897,49442,12367,12202,727,20548,58479,4845,27660,1987
"Selected crops harvested: Sugar beets for sugar Hay— alfalfa, other tame, small grain, wild, grass silage, green chop, etc,  tons, dry",3563558,121560,23144,81249,89197,8253,194992,63544,(D),34983,113446,28589,103981,44385,153790,70506,187836,101643,11262,78026,90197,114637,44053,44567,139920,62271,289911,168882,21987,24232,93204,12174,74398,51213,85069,16244,64295,155579,51427,36707,(D),45990,282775,5892,69863,1987
