Item,ID,Ada,Adams,Bannock,BearLake,Benewah,Bingham,Blaine,Boise,Bonner,Bonneville,Boundary,Butte,Camas,Canyon,Caribou,Cassia,Clark,Clearwater,Custer,Elmore,Franklin,Fremont,Gem,Gooding,Idaho,Jefferson,Jerome,Kootenai,Latah,Lemhi,Lewis,Lincoln,Madison,Minidoka,NezPerce,Oneida,Owyhee,Payette,Power,Shoshone,Teton,TwinFalls,Valley,Washington,year
Farms number,22124,1174,271,588,415,195,1282,221,67,476,775,285,188,93,1873,384,788,85,210,267,285,619,495,531,683,662,766,815,541,610,333,177,302,505,774,345,313,561,562,292,42,257,1457,107,453,1992
Land in farms acres,13468992,232879,221209,325338,269435,111510,1371605,266293,80333,150021,453647,72664,159358,129490,391050,587693,666342,286711,103246,140701,353528,230086,380928,197176,227114,744295,311296,207552,131281,347293,193908,211039,132429,224369,208161,477839,271143,752032,148776,435069,4428,134788,489993,78813,556131,1992
Average size of farm acres ,609,198,816,553,649,572,1070,1205,1199,315,585,255,848,1392,209,1530,846,3373,492,527,1240,372,770,371,333,1124,406,255,243,569,582,1192,439,444,269,1385,866,1341,265,1490,105,524,336,737,1228,1992
Value of land and buildings: Average per farm dollars ,410206,270110,354016,240450,229211,461280,549450,879552,796002,333200,469111,303875,397417,526685,300649,446064,584604,1075882,255149,423414,561410,229503,482637,329565,348302,528794,355240,342216,363930,409108,359086,736744,287007,545740,336218,721748,294233,540485,230254,874825,196119,531242,338149,632268,638659,1992
Value of land and buildings: Average per acre dollars ,682,1453,456,466,378,737,520,710,664,1062,827,1383,503,376,1453,290,693,324,526,835,444,501,634,870,1085,431,872,1342,1795,780,637,624,711,1262,1261,545,368,416,911,576,1860,1164,1065,822,523,1992
Estimated market value of all machinery and equipment : Average per farm dollars,67841,37394,28256,40815,42532,63053,95705,49936,33569,24822,74324,37118,78818,59295,63988,92591,116643,122305,28711,60315,101789,57068,102293,33281,79331,52012,60630,78653,38398,53651,45794,119729,59983,111279,99307,94523,52930,71993,41155,200464,22356,67978,62013,38238,47787,1992
Farms by size: 1 to 9 acres ,2785,302,45,98,20,10,224,21,11,34,109,24,11,5,348,22,97,3,9,24,43,70,43,63,71,24,105,96,69,28,38,3,15,75,134,41,17,56,80,21,3,8,219,4,42,1992
Farms by size:10 to 49 acres ,5017,453,71,157,64,34,345,36,10,118,208,78,27,9,628,33,108,4,36,43,49,111,86,200,165,86,186,198,171,105,75,10,22,102,141,36,27,99,213,35,16,39,274,16,93,1992
Farms by size:50 to 179 acres ,5070,246,43,107,94,59,236,50,14,157,147,101,31,6,459,54,169,10,57,47,66,154,119,146,206,138,201,225,136,147,58,24,64,103,181,53,48,149,168,24,18,55,380,26,94,1992
Farms by size:180 to 499 acres ,4182,101,44,97,112,33,184,41,12,122,118,42,38,16,280,83,136,21,63,73,38,157,98,62,156,126,122,179,95,120,61,23,123,110,201,49,67,114,62,40,4,71,382,25,81,1992
Farms by size:500 to 999 acres ,2270,37,27,50,60,20,131,19,6,27,78,20,37,14,107,72,114,12,21,44,31,70,70,22,44,112,70,74,41,95,49,38,52,46,80,64,77,52,20,39,1,40,126,18,43,1992
"Farms by size:1,000 acres or more ",2800,35,41,79,65,39,162,54,14,18,115,20,44,43,51,120,164,35,24,36,58,57,79,38,41,176,82,43,29,115,52,79,26,69,37,102,77,91,19,133,-,44,76,18,100,1992
Total cropland farms,19204,1001,221,497,383,159,1083,182,53,414,682,250,158,80,1644,327,685,65,185,235,237,555,422,473,585,566,677,705,467,548,275,150,278,464,698,291,285,469,514,268,23,230,1232,88,400,1992
Total cropland acres,6301862,99890,43770,182706,126557,74508,(D),75250,7478,42641,303987,46721,(D),(D),245963,242310,(D),(D),36552,67964,111390,141099,197105,51439,139225,225536,210541,165898,78383,246148,84859,150451,(D),177049,(D),214633,177482,(D),(D),312574,1036,108283,292686,27443,112734,1992
Total cropland Harvested cropland farms ,16023,760,169,395,353,135,847,149,33,331,575,225,135,61,1347,278,583,48,139,186,174,498,355,369,479,495,569,600,372,492,216,143,232,396,618,249,259,410,428,237,19,197,1082,41,344,1992
Total cropland Harvested cropland acres,4225273,64754,16319,91821,62342,58066,297491,42814,1926,21358,199650,36732,48199,25221,197067,140089,261246,51841,24186,33011,71855,76751,161960,27874,97409,138675,173329,142125,57605,200033,41837,116593,50960,144280,174157,165179,75862,85528,43329,157365,459,71504,217434,6990,52047,1992
irrigated land farms,15487,980,180,410,293,11,1065,179,41,81,596,36,147,28,1645,206,641,38,12,228,202,437,372,463,581,53,675,695,168,33,280,6,257,449,696,68,201,469,494,210,6,190,1243,81,341,1992
irrigated land acres,3260006,73794,22417,39574,42617,1293,307812,64283,2954,2617,153314,1399,56134,7486,215279,70201,252012,48428,316,58436,75108,50901,130845,38677,115398,2418,183956,150444,18723,2060,70300,337,59694,127851,177516,2277,28906,100449,56592,102892,217,51358,231351,21143,40227,1992
"Market value of agricultural products sold, $1,000",2964216,97173,10747,25913,14310,12579,215446,26587,3558,6025,101701,11900,19380,4280,262178,36781,284333,36718,4604,14085,265116,45001,86126,29510,201918,29906,91177,174324,17037,39662,18656,19525,38158,73198,129253,33917,13188,96557,43223,98443,359,20193,170499,6511,34459,1992
Market value of agricultural products sold Average per farm dollars ,133982,82771,39657,44069,34483,64507,168055,120301,53100,12657,131226,41756,103083,46027,139978,95784,360829,431976,21923,52754,930231,72700,173992,55574,295635,45175,119030,213895,31492,65020,56025,110312,126350,144947,166994,98310,42135,172116,76910,337135,8546,78573,117020,60847,76069,1992
"Market value of agricultural products sold Crops, including nursery and greenhouse crops $1,000 ",1492103,25215,(D),15795,2040,11327,159956,13811,1605,1265,75091,8219,11979,1710,141204,21803,123056,30075,2951,1577,(D),7461,67017,10685,43648,13974,51832,75280,14052,35309,1064,17430,17663,64249,100274,26765,6011,36706,24432,68570,(D),13698,86768,1018,16579,1992
"Market value of agricultural products sold  Livestock, poultry, and their products, $1,000.. ",1472113,71957,(D),10117,12270,1252,55490,12775,1953,4760,26609,3682,7401,2571,120974,14978,161277,6643,1653,12508,(D),37541,19109,18825,158270,15932,39345,99044,2985,4353,17592,2095,20494,8950,28979,7152,7177,59852,18791,29873,(D),6495,83731,5493,17880,1992
"Farms by value of sales: Less than $2,500 ",4726,413,82,196,105,78,255,49,27,212,156,74,21,37,402,70,95,12,74,72,68,109,81,120,77,146,150,97,247,159,70,16,33,93,86,78,58,68,128,44,18,44,177,34,95,1992
"Farms by value of sales: $2,500 to $4,999 ",2186,167,27,85,45,14,132,16,8,80,80,37,21,3,215,17,49,4,25,19,27,60,47,74,54,80,81,43,81,63,29,13,15,51,58,29,20,43,71,13,8,23,108,6,45,1992
"Farms by value of sales: $5,000 to $9,999 ",2433,143,48,71,63,15,134,21,9,76,103,44,16,9,233,34,60,7,32,24,29,97,48,67,54,64,78,78,90,75,40,9,39,47,70,23,37,40,69,18,11,17,136,4,51,1992
"Farms by value of sales: $10,000 to $24,999 ",3266,170,43,100,83,32,156,34,6,66,109,56,21,18,300,46,106,18,34,35,26,124,65,96,103,104,125,132,44,73,39,14,38,78,100,39,66,82,89,34,3,45,229,22,63,1992
"Farms by value of sales: $25,000 to $49,999 ",2370,85,31,45,46,12,127,25,4,11,88,22,26,12,171,46,81,6,18,49,21,49,56,71,101,109,77,113,26,47,49,21,43,48,77,34,46,76,60,29,-,30,220,18,44,1992
"Farms by value of sales: $50,000 to $99,999 ",2253,50,16,29,37,7,126,27,7,17,68,19,27,8,132,64,100,8,13,27,27,71,58,47,88,78,77,103,14,56,45,33,48,44,83,41,44,91,48,23,1,45,234,12,60,1992
"Farms by value of sales: $100,000 or more ",4890,146,24,62,36,37,352,49,6,14,171,33,56,6,420,107,297,30,14,41,87,109,140,56,206,81,178,249,39,137,61,71,86,144,300,101,42,161,97,131,1,53,353,11,95,1992
"Total farm production expenses,  $1,000",2445017,85706,8609,19074,12544,11769,164239,22425,3193,5054,79734,9238,17026,5111,217396,28698,250144,27221,4143,11802,249361,34625,69750,25834,161715,27711,74340,140185,14516,28681,13888,16141,32172,55784,101533,28935,11856,81419,34213,77738,427,14751,130987,6183,29145,1992
"Total farm production expenses, Average per farm dollars ",110489,73004,31769,32439,30226,60352,128012,101471,47663,10595,102882,32413,90564,54960,116130,74541,317442,320241,19635,44039,874952,56027,140910,48561,236771,41859,96923,172006,26832,47018,41706,91194,106529,110246,131349,83870,37880,145132,60986,266227,10162,57395,89902,57786,64195,1992
Net cash farm income of the operations farms,22129,1174,271,588,415,195,1283,221,67,477,775,285,188,93,1872,385,788,85,211,268,285,618,495,532,683,662,767,815,541,610,333,177,302,506,773,345,313,561,561,292,42,257,1457,107,454,1992
Net cash farm income of the operations 1000,493797,7453,1542,4510,1803,3133,48579,1695,(D),(D),22148,1704,4515,(D),45098,7386,34508,10027,1339,2314,14163,8907,15875,2438,39456,3912,19138,32533,1817,7748,3599,2859,6508,15012,26287,5348,2284,13200,6913,17528,(D),6278,38302,985,5516,1992
