Item,ID,Ada,Adams,Bannock,BearLake,Benewah,Bingham,Blaine,Boise,Bonner,Bonneville,Boundary,Butte,Camas,Canyon,Caribou,Cassia,Clark,Clearwater,Custer,Elmore,Franklin,Fremont,Gem,Gooding,Idaho,Jefferson,Jerome,Kootenai,Latah,Lemhi,Lewis,Lincoln,Madison,Minidoka,NezPerce,Oneida,Owyhee,Payette,Power,Shoshone,Teton,TwinFalls,Valley,Washington,year
Net cash farm income of the operations Average per farm dollars,22314,6348,5691,7670,4346,16067,37864,7671,(D),(D),28579,5979,24017,(D),24091,19184,43792,117960,6347,8634,49695,14413,32070,4583,57769,5909,24952,39918,3359,12701,10808,16154,21549,29669,34007,15502,7298,23529,12323,60029,(D),24428,26288,9208,12149,1992
Principal operator by primary occupation: Farming number,13082,513,149,242,216,100,716,134,35,232,412,145,132,63,1066,251,550,57,101,167,173,345,271,282,458,412,411,516,235,347,211,143,233,288,563,230,193,409,320,219,19,162,998,58,305,1992
Principal operator by primary occupation: Other number,9042,661,122,346,199,95,566,87,32,244,363,140,56,30,807,133,238,28,109,100,112,274,224,249,225,250,355,299,306,263,122,34,69,217,211,115,120,152,242,73,23,95,459,49,148,1992
Principal operator by days worked off farm: Any number,11342,732,156,368,228,103,651,110,38,267,408,172,82,51,962,180,350,41,110,144,132,337,283,303,315,348,420,412,325,308,151,63,121,275,333,133,163,237,304,109,20,122,705,58,212,1992
Principal operator by days worked off farm: 200 days or more number,7214,536,76,267,153,58,485,71,24,186,264,96,46,28,685,105,199,21,67,84,87,231,171,194,199,185,285,249,205,184,96,34,59,181,200,84,102,135,210,60,12,65,383,32,120,1992
Livestock and poultry: Cattle and calves inventory farms ,12527,628,206,343,270,94,764,124,42,274,368,138,109,40,963,205,436,54,127,185,170,384,240,323,465,460,481,460,253,258,244,87,215,226,388,178,219,339,289,118,25,138,869,67,261,1992
Livestock and poultry: Cattle and calves inventory number,1812720,73402,26778,23510,28655,4225,92102,29527,5159,13828,42845,7335,20418,7878,130789,30108,134228,14822,5921,36956,94298,39527,30974,36054,113347,45261,73301,89656,8544,12415,55422,7040,27535,20952,33270,17048,26045,109884,30235,31890,798,16809,106847,10484,46598,1992
Livestock and poultry: Beef cows farms ,8393,345,163,219,213,77,479,90,36,226,264,118,82,29,588,138,273,46,108,168,134,159,168,202,251,393,324,203,205,230,220,78,114,148,170,159,184,244,168,95,19,100,505,42,216,1992
Livestock and poultry: Beef cows number,565016,13136,11640,10465,14482,1916,29376,13220,(D),6475,15550,3760,10532,(D),18882,15284,30873,6781,3265,(D),16352,6953,8760,13608,19397,23656,20587,10643,4122,6458,35552,3545,6240,7824,7303,8407,14105,40393,8046,8614,524,6598,27702,3968,21131,1992
Livestock and poultry: Milk cows farms,1990,103,30,46,46,6,121,19,2,30,37,18,19,1,154,33,92,-,9,10,19,139,39,52,126,40,73,92,19,17,30,11,86,36,70,13,20,54,67,11,4,27,122,3,44,1992
Livestock and poultry: Milk cows number,181785,9433,278,1666,2022,16,8996,828,(D),566,1630,445,598,(D),14014,2011,8040,-,130,(D),297,11434,1470,2940,32481,370,4081,32041,70,174,672,28,5537,1715,5213,90,729,4665,5147,552,5,1323,18301,3,1593,1992
Livestock and poultry: Cattle and calves sold farms,12230,588,205,320,273,88,740,113,41,247,359,132,103,32,934,204,433,56,122,182,166,370,237,310,482,448,468,461,232,251,252,90,212,223,384,177,214,339,287,119,24,143,848,65,256,1992
Livestock and poultry: Cattle and calves sold number,1646112,78729,19590,12457,16593,1998,65668,18014,4170,6597,34876,3712,10879,4759,133496,19731,224172,10384,2945,22652,(D),15225,26068,19042,106901,26558,47467,61050,4286,5884,35443,3193,18399,10184,21934,10925,11918,84326,14917,39148,(D),7950,75528,9361,27456,1992
Livestock and poultry: Hogs and pigs inventory farms ,1141,75,10,44,9,16,62,10,3,35,41,21,14,4,73,8,58,-,12,6,17,45,22,32,45,42,51,39,28,27,11,11,24,28,42,16,10,24,24,5,2,6,71,4,14,1992
Livestock and poultry: Hogs and pigs inventory number,67343,5509,171,1018,208,1529,5075,482,(D),255,1921,6465,2013,25,2827,653,2108,-,939,28,122,1916,151,555,3549,8963,2596,3038,169,3841,80,855,828,953,2225,534,457,422,520,15,(D),34,3266,13,771,1992
Livestock and poultry: Hogs and pigs sold farms ,940,63,10,39,5,15,57,9,2,29,36,22,13,5,53,8,44,-,7,1,12,43,20,23,30,46,44,33,20,23,5,9,12,19,44,11,7,17,20,4,2,2,59,4,13,1992
Livestock and poultry: Hogs and pigs sold number,104723,8027,274,1804,75,2626,6886,521,(D),554,3314,10951,2015,15,3761,1346,3047,-,1644,(D),135,2475,377,718,5448,13781,4714,5777,265,6658,43,1449,1469,1936,4326,478,288,966,768,28,(D),(D),4203,9,1126,1992
Livestock and poultry: Sheep and lambs inventory farms,1316,66,25,42,31,10,75,20,1,35,48,27,15,2,101,28,29,10,7,28,19,37,42,39,37,41,54,26,35,22,45,3,23,19,26,11,19,32,44,12,1,5,88,7,29,1992
Livestock and poultry: Sheep and lambs inventory number,347678,1943,1017,4378,16636,407,14486,32956,(D),1177,5934,1194,11300,(D),16128,16359,7166,6650,163,2318,(D),2712,33414,2210,15885,11426,22154,10316,1288,3377,4499,90,1054,3254,35213,121,2249,12189,6655,1646,(D),(D),12879,276,17233,1992
Livestock and poultry: Chickens 3 months old or older inventory farms,1119,88,26,40,6,9,41,8,5,53,27,28,10,3,107,3,26,1,13,17,23,21,18,32,43,36,29,25,51,27,8,6,19,11,25,23,14,29,28,4,4,8,84,6,34,1992
Livestock and poultry: Chickens 3 months old or older inventory number,1488472,1457,495,(D),(D),(D),723,(D),(D),1217,516,1474,194,81,7831,52,(D),(D),(D),422,540,(D),(D),(D),867,1401,735,(D),(D),2714,(D),(D),468,(D),(D),612,(D),697,450,(D),(D),(D),2511,(D),428,1992
Livestock and poultry: Broilers and other meat-type chickens sold farms,59,6,-,1,-,3,5,-,-,2,2,3,-,-,5,-,-,-,-,2,-,2,1,2,2,4,-,2,8,-,-,-,-,-,3,1,-,-,-,-,1,1,3,-,-,1992
Livestock and poultry: Broilers and other meat-type chickens sold number,27206,424,-,(D),-,(D),11090,-,-,(D),(D),75,-,-,11675,-,-,-,-,(D),-,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),-,-,-,1280,(D),-,-,-,-,(D),(D),175,-,-,1992
Selected crops harvested: Corn for grain farms,6106,156,7,119,67,57,436,23,1,2,259,62,39,23,503,122,330,18,45,3,48,161,189,62,135,254,218,304,63,271,2,123,74,212,319,177,139,118,103,179,-,33,511,7,132,1992
Selected crops harvested: Corn for grain acres,1384893,12373,141,54812,8704,27106,145119,4932,(D),(D),72576,14324,8207,4120,41617,34800,105671,24067,8926,178,16696,20816,35846,2636,14721,63977,39222,33618,17947,97212,(D),57783,14721,37443,46919,89453,38858,10788,6237,107964,-,9268,42084,1448,11430,1992
Selected crops harvested: Corn for grain bushels,94094326,1004957,5985,2509983,204082,1545783,13609331,402791,(D),(D),5220090,896519,609881,65123,3678978,1441638,8077910,1958887,417619,11080,1309002,775071,2800572,198977,1266381,2957770,3295634,3033971,984869,5879905,(D),2976912,1145311,2924728,4580404,4643122,1131017,786802,476137,6604820,-,479374,3417747,78740,678468,1992
Selected crops harvested: Barley for grain farms,5149,116,16,113,136,30,228,57,5,7,298,58,75,31,224,195,211,14,39,21,24,272,217,52,82,209,292,136,29,205,20,104,71,218,276,124,130,85,65,48,-,123,430,4,59,1992
Selected crops harvested: Barley for grain acres,691273,4658,579,9804,9727,4661,24528,14629,113,210,55747,8773,10192,5485,9298,73692,26385,2590,4543,1720,2077,18873,63835,1210,4623,28872,40280,10585,3012,26135,712,24029,6140,52421,32375,22085,12475,4299,1620,4447,-,36648,23951,444,2791,1992
Selected crops harvested: Barley for grain bushels,48647384,335812,32883,497019,435496,259302,2327821,1285540,3632,10974,4752936,531195,795679,163749,785659,4642834,2274383,199506,221639,126819,128663,1200189,4511366,92299,383591,781588,3353101,930465,163256,1425651,45433,1100953,464934,4202800,3279421,1107970,482750,347358,135859,313898,-,2172937,2162084,22670,155270,1992
"Selected crops harvested:  Dry edible beans, excluding chickpeas and limas farms",1494,26,-,-,-,-,1,-,-,-,-,-,-,1,159,-,144,-,2,2,24,-,-,4,64,2,-,241,-,10,-,-,17,-,158,5,-,38,16,-,-,-,577,-,3,1992
"Selected crops harvested:  Dry edible beans, excluding chickpeas and limas acres",114896,1131,-,-,-,-,(D),-,-,-,-,-,-,(D),8488,-,11771,-,(D),(D),4080,-,-,139,3794,(D),-,20449,-,1485,-,-,1027,-,11758,1149,-,2559,834,-,-,-,45272,-,72,1992
"Selected crops harvested:  Dry edible beans, excluding chickpeas and limas cwt",2064725,21811,-,-,-,-,(D),-,-,-,-,-,-,(D),169833,-,183366,-,(D),(D),80687,-,-,1807,70668,(D),-,355176,-,8291,-,-,17121,-,183604,16679,-,54469,15391,-,-,-,870660,-,(D),1992
Selected crops harvested: Irish potatoes farms ,1616,11,1,15,1,-,246,9,-,2,126,2,16,-,86,22,148,9,2,4,34,3,139,1,58,2,63,113,2,2,1,1,18,136,114,3,-,41,18,77,-,25,60,1,4,1992
Selected crops harvested: Irish potatoes  acers,372028,999,(D),3328,(D),-,67007,3937,-,(D),35417,(D),3126,-,7137,4313,32113,11000,(D),340,8623,(D),38262,(D),11868,(D),16259,18071,(D),(D),(D),(D),3488,39402,18729,3,-,4948,1221,25936,-,5673,9217,(D),293,1992
Selected crops harvested: Irish potatoes cwt,119060333,360456,(D),1133900,(D),-,21296484,1325354,-,(D),9415125,(D),608060,-,2671929,1123797,11442781,4220670,(D),50100,3422809,(D),11341076,(D),4301135,(D),4395122,6942361,(D),(D),(D),(D),1230986,10682805,6882284,124,-,1955538,521051,8540803,-,1150140,3388975,(D),103477,1992
Selected crops harvested: Sugar beets for sugar farms,1406,51,-,-,-,-,37,3,-,-,-,-,-,-,270,-,206,-,-,-,30,-,-,5,38,-,-,93,-,-,-,-,33,-,297,-,-,7,41,35,-,-,149,-,43,1992
Selected crops harvested: Sugar beets for sugar acres,202115,5331,-,-,-,-,9975,(D),-,-,-,-,-,-,32464,-,32083,-,-,-,11253,-,-,(D),3073,-,-,12698,-,-,-,-,7051,-,42939,-,-,11107,5360,9255,-,-,14249,-,2635,1992
Selected crops harvested: Sugar beets for sugar tons,4828489,135866,-,-,-,-,249611,(D),-,-,-,-,-,-,900320,-,718338,-,-,-,247263,-,-,(D),59780,-,-,300870,-,-,-,-,161581,-,1010080,-,-,210929,155253,227099,-,-,311003,-,72995,1992
"Selected crops harvested: Haymalfalfa, other tame, small grain, wild, grass silage, green chop, etc, farms",11940,617,161,334,329,85,571,132,25,285,401,161,120,47,867,194,353,39,116,182,133,424,240,268,388,418,489,449,298,301,208,85,182,253,365,133,213,317,287,106,18,153,891,36,266,1992
"Selected crops harvested: Haymalfalfa, other tame, small grain, wild, grass silage, green chop, etc, acres",1063292,27557,15588,24667,45079,5164,50376,16814,1858,20258,35457,9550,27632,14984,32773,29289,48864,14482,7311,30796,22785,35022,24450,13569,36009,36233,74185,34364,12822,15176,41802,7013,15239,16179,17869,7678,25339,40331,15083,8474,524,20014,51185,2944,30504,1992
"Selected crops harvested: Haymalfalfa, other tame, small grain, wild, grass silage, green chop, etc, tons, dry",3389557,111306,30947,59860,60672,6408,191738,52295,5125,28829,103891,25115,100357,17162,146957,62143,183778,55976,7811,77466,112777,105221,62997,45211,175586,36118,303461,179203,19466,18999,96639,7417,42017,52554,88065,11923,59758,166582,61761,29294,647,43938,257448,5653,78986,1992
