Item,ID,Ada,Adams,Bannock,BearLake,Benewah,Bingham,Blaine,Boise,Bonner,Bonneville,Boundary,Butte,Camas,Canyon,Caribou,Cassia,Clark,Clearwater,Custer,Elmore,Franklin,Fremont,Gem,Gooding,Idaho,Jefferson,Jerome,Kootenai,Latah,Lemhi,Lewis,Lincoln,Madison,Minidoka,NezPerce,Oneida,Owyhee,Payette,Power,Shoshone,Teton,TwinFalls,Valley,Washington,year
Farms by size:180 to 499 acres ,3812,74,36,115,117,29,156,31,20,96,115,50,58,21,265,85,115,15,46,52,43,159,91,62,123,109,120,162,96,125,56,29,83,83,130,50,95,110,57,51,3,67,313,15,84,1997
Farms by size:500 to 999 acres ,2199,35,29,55,58,30,110,14,10,26,79,14,26,10,98,60,98,9,23,45,36,77,67,25,45,104,72,59,53,87,40,26,41,43,79,57,74,68,19,40,1,41,152,19,45,1997
"Farms by size:1,000 acres or more ",2833,35,48,82,59,41,157,47,9,18,108,23,40,44,45,139,164,40,20,43,62,67,84,34,43,176,82,46,25,105,63,70,29,67,44,111,78,95,22,140,-,37,72,20,99,1997
Total cropland farms,18994,1031,233,555,373,178,1006,163,57,439,681,270,178,85,1632,363,619,56,184,214,242,570,411,492,529,559,660,570,500,576,258,152,254,410,576,306,355,499,486,286,28,238,1208,88,424,1997
Total cropland acres,6308877,89540,47551,166700,121299,77319,377753,70233,6956,36975,312093,50657,70355,79958,235077,265388,378150,(D),41614,67915,126529,148431,193394,47908,(D),225585,234334,159852,76855,237543,83790,140160,(D),174147,(D),208288,187730,157795,(D),354392,1656,101862,308139,22557,107423,1997
Total cropland Harvested cropland farms ,15494,819,179,393,324,127,772,145,43,354,546,234,165,78,1348,276,540,38,148,173,200,466,337,386,427,472,564,481,394,420,203,145,225,363,477,253,282,408,405,233,21,201,1010,59,360,1997
Total cropland Harvested cropland acres,4478862,66567,15595,74634,63134,59548,310419,45149,3151,20232,203034,38585,56972,57909,196689,153406,277150,47402,28135,35466,92326,84429,157298,27941,99625,138890,197846,141631,53469,188086,46898,114647,63907,147243,175250,171767,84521,113447,43224,183446,904,76919,256460,7543,57968,1997
irrigated land farms,15191,1060,193,427,282,14,1001,160,49,86,596,39,172,29,1684,200,607,46,12,222,226,424,349,485,542,58,670,582,148,29,267,3,255,393,589,67,221,475,489,196,5,188,1223,74,354,1997
irrigated land acres,3493542,78112,27701,41910,49835,211,321610,56909,3422,1962,153774,2524,62285,12091,221051,80790,266095,55555,127,61933,91153,54643,118997,37183,112665,2033,207686,151726,15794,266,82351,(D),72518,128649,180791,430,33372,131976,52566,118229,(D),57273,276307,24229,44686,1997
"Market value of agricultural products sold, $1,000",3345864,93719,8339,25032,14876,11434,225493,23584,2253,7269,90589,13541,21514,8815,311397,42918,332819,32029,4849,17557,220121,57212,81004,29606,249436,32553,136132,250374,13581,37541,18782,20157,43896,80475,152214,37756,15164,102974,48801,120975,388,22864,239410,7608,38816,1997
Market value of agricultural products sold Average per farm dollars ,149945,76756,29890,37699,36284,50595,193059,120943,28885,14509,115106,43401,103932,89944,164066,100510,456541,385897,23091,65511,731298,87346,164308,53634,369535,49248,176108,366580,22711,56967,60981,110753,156215,171223,225836,98580,39183,180656,86526,374535,8809,84682,166372,63931,79379,1997
"Market value of agricultural products sold Crops, including nursery and greenhouse crops $1,000 ",1773699,36390,1115,15583,3443,10510,169203,12681,1184,4026,72170,11714,14913,6812,156395,29457,142502,23999,3870,3608,(D),11039,69606,11296,51752,18955,84175,83470,10990,34345,1620,18838,26832,73134,114714,33121,9111,46974,27125,87141,(D),16943,134780,1303,23590,1997
"Market value of agricultural products sold  Livestock, poultry, and their products, $1,000.. ",1572166,57329,7225,9449,11433,924,56290,10903,1069,3243,18419,1827,6601,2003,155002,13461,190317,8031,980,13949,(D),46173,11397,18310,197684,13598,51957,166904,2591,3196,17162,1319,17065,7340,37500,4635,6053,56000,21675,33834,(D),5921,104629,6305,15226,1997
"Farms by value of sales: Less than $2,500 ",5663,435,82,254,98,104,267,32,25,222,199,93,28,15,462,131,118,12,79,64,72,165,105,159,130,178,156,100,271,273,57,38,39,96,108,109,94,109,143,74,22,58,233,43,111,1997
"Farms by value of sales: $2,500 to $4,999 ",2350,213,39,94,41,34,146,20,13,83,72,41,8,-,225,16,45,2,30,27,33,59,49,80,57,65,71,54,95,64,32,11,19,52,58,30,37,43,61,14,10,28,114,14,51,1997
"Farms by value of sales: $5,000 to $9,999 ",2362,160,39,79,47,18,105,21,8,76,115,42,24,11,232,26,53,7,29,25,40,64,54,65,52,59,87,61,77,61,31,10,29,47,62,30,39,43,76,16,9,21,139,9,64,1997
"Farms by value of sales: $10,000 to $24,999 ",3182,151,49,100,93,22,153,22,11,76,110,63,21,19,278,60,89,19,32,37,20,116,69,97,97,95,131,84,82,68,53,15,56,69,80,41,79,69,85,30,1,37,212,12,79,1997
"Farms by value of sales: $25,000 to $49,999 ",2068,77,32,52,51,7,90,25,8,18,69,26,37,14,152,34,83,4,13,29,31,59,44,58,65,86,90,72,27,36,37,19,28,42,58,28,55,59,50,31,-,39,163,17,53,1997
"Farms by value of sales: $50,000 to $99,999 ",1898,48,21,31,32,9,101,25,9,12,66,12,30,14,145,49,70,3,16,33,20,63,37,41,69,70,57,77,15,45,37,19,36,32,57,39,44,72,51,29,1,35,172,12,42,1997
"Farms by value of sales: $100,000 or more ",4791,137,17,54,48,32,306,50,4,14,156,35,59,25,404,111,271,36,11,53,85,129,135,52,205,108,181,235,31,112,61,70,74,132,251,106,39,175,98,129,1,52,406,12,89,1997
"Total farm production expenses,  $1,000",2705028,75326,7917,19882,12409,9818,180557,18722,1753,7037,71648,10612,17837,5726,255489,30967,293322,25210,4678,12878,211889,45131,59908,27126,188784,28145,114621,183094,14134,33514,13922,17698,35283,59567,122141,32434,12283,78839,37567,103928,537,17699,169585,5020,30388,1997
"Total farm production expenses, Average per farm dollars ",121117,61692,28276,29898,30266,43252,154587,95523,22479,14018,91155,33796,85756,58428,134539,72523,402362,303730,22172,48053,703951,68903,121763,48963,279266,42515,148473,268073,23557,50702,45056,96183,125563,126739,181488,84685,31740,138313,66373,322757,12209,65797,117767,42183,61891,1997
Net cash farm income of the operations farms,22334,1221,280,665,410,227,1168,196,78,502,786,314,208,98,1899,427,729,83,211,268,301,655,492,554,676,662,772,683,600,661,309,184,281,470,673,383,387,570,566,322,44,269,1440,119,491,1997
Net cash farm income of the operations 1000,590283,14239,1892,2792,1273,1141,41096,4485,500,-455,19622,940,3598,3089,52451,11314,35382,6820,-12,2565,7593,11147,18809,1171,58748,1895,21494,67519,499,716,5868,1717,7156,18130,26626,8699,2027,21581,7940,16011,-150,4907,66547,2631,8269,1997
Net cash farm income of the operations Average per farm dollars,26430,11662,6757,4199,3105,5026,35185,22881,6407,-906,24965,2992,17298,31516,27620,26496,48535,82168,-55,9571,25226,17018,38230,2113,86906,2862,27842,98857,831,1084,18989,9332,25467,38575,39563,22712,5238,37861,14029,49725,-3400,18241,46213,22106,16842,1997
Operators by principal occupation: Farming ,12049,467,135,269,193,108,607,113,36,217,402,141,131,69,969,247,488,53,98,145,171,327,286,267,402,389,391,424,277,313,189,118,194,236,436,228,211,390,294,212,22,156,877,61,290,1997
Operators by principal occupation: Other ,10265,754,144,395,217,118,561,82,42,284,385,171,76,29,929,180,241,30,112,123,130,328,207,285,273,272,382,259,321,346,119,64,87,234,238,155,176,180,270,111,22,114,562,58,199,1997
Operators by days worked off farm: Any ,12230,792,175,418,243,122,642,106,47,294,444,184,106,43,1081,206,337,40,114,158,143,363,280,358,317,350,463,345,355,357,148,76,140,273,329,176,208,259,321,146,22,141,769,67,272,1997
Operators by days worked off farm: 200 days or more,7885,596,103,306,172,74,451,59,25,183,309,121,70,20,750,117,205,25,79,95,81,257,166,239,206,191,299,204,237,236,85,42,67,168,207,107,138,135,223,85,16,79,454,42,161,1997
Livestock and poultry: Cattle and calves inventory farms ,12063,596,188,358,269,94,652,102,45,235,338,140,127,35,1047,192,398,57,106,183,173,382,257,338,448,441,433,407,239,216,236,80,200,221,326,186,205,346,303,124,19,135,832,70,284,1997
Livestock and poultry: Cattle and calves inventory number,1908097,66194,23146,23795,32274,3948,81747,26849,5351,9210,44171,5905,20193,7445,144366,31540,138686,15758,3963,42004,123306,43953,24517,32054,140974,41393,62730,133648,6985,10301,54102,4723,36422,16302,33817,14168,23233,108071,36029,35933,207,15683,126184,14347,42470,1997
Livestock and poultry: Beef cows farms ,8405,324,146,247,212,81,426,81,34,203,224,128,103,31,638,135,266,48,94,163,138,197,193,243,248,387,302,188,182,183,215,67,128,149,149,166,177,252,200,95,15,106,557,56,228,1997
Livestock and poultry: Beef cows number,555676,11580,10738,12467,16491,1808,25876,12458,(D),4828,15350,3152,9875,3720,20489,14254,28260,(D),2089,(D),17839,7683,11079,15338,16421,20993,17374,10750,3422,5497,33023,(D),6963,7104,4744,(D),13444,41358,12369,10432,(D),7477,29664,5398,18303,1997
Livestock and poultry: Milk cows farms,1404,70,14,29,38,12,84,5,2,23,18,11,9,-,124,18,55,2,5,9,8,119,21,36,112,29,56,74,13,10,16,2,43,21,57,5,16,33,48,6,1,26,97,5,22,1997
Livestock and poultry: Milk cows number,265854,13193,193,1037,1680,43,8484,229,(D),343,657,335,387,-,17665,1346,12531,(D),15,(D),397,13869,913,2516,63415,386,5086,59107,60,141,1059,(D),6363,1521,7874,(D),583,5269,5360,712,(D),1172,30730,34,574,1997
Livestock and poultry: Cattle and calves sold farms,11684,579,191,331,273,85,646,100,42,222,328,125,121,33,979,191,389,62,102,178,161,367,248,327,440,437,429,393,216,210,240,77,196,216,318,179,200,342,289,116,18,138,798,71,281,1997
Livestock and poultry: Cattle and calves sold number,1578375,47354,14734,14120,16907,1806,69766,16481,2573,5049,31039,2971,9878,4357,168414,19009,224788,15601,2099,25135,(D),18902,13164,16443,77774,24644,63750,88887,4435,5621,31136,2855,15661,8384,21946,8426,11708,79731,19869,43011,(D),8456,76018,11673,22694,1997
Livestock and poultry: Hogs and pigs inventory farms ,714,44,9,33,11,4,36,3,4,20,15,7,8,-,56,11,24,1,7,13,13,20,14,22,22,22,30,32,33,12,9,1,15,12,28,14,1,15,19,3,1,11,40,5,14,1997
Livestock and poultry: Hogs and pigs inventory number,29026,3813,39,439,110,36,1294,28,(D),131,110,101,150,-,1253,180,3582,(D),30,65,173,274,76,681,359,3045,2782,1299,208,371,109,(D),856,131,2197,239,(D),226,340,(D),(D),60,3954,21,93,1997
Livestock and poultry: Hogs and pigs sold farms ,573,37,5,23,8,2,28,3,2,16,14,7,6,2,39,9,22,-,6,7,10,11,12,18,13,21,28,27,34,11,5,1,12,9,26,13,-,10,13,2,1,5,39,5,11,1997
Livestock and poultry: Hogs and pigs sold number,44626,5470,31,399,142,(D),3348,(D),(D),136,538,123,131,(D),1439,(D),3843,-,22,60,176,371,236,1274,384,4378,3446,3774,307,1044,105,(D),693,123,2836,668,-,237,784,(D),(D),59,6809,39,259,1997
Livestock and poultry: Sheep and lambs inventory farms,1097,65,29,38,25,16,58,16,1,37,41,19,18,-,99,27,21,8,7,22,14,27,31,36,27,26,27,16,31,19,27,3,13,7,24,12,15,29,28,4,3,6,82,8,35,1997
Livestock and poultry: Sheep and lambs inventory number,273804,1554,820,3774,4964,589,10853,31267,(D),1117,3285,927,8151,-,18436,10144,14840,(D),92,4208,(D),2005,22874,960,26652,3520,16046,(D),316,978,2002,(D),764,461,27821,208,795,6834,837,(D),(D),182,9968,598,15687,1997
Livestock and poultry: Layers inventory farms,886,73,23,31,7,12,38,-,2,36,20,16,5,-,92,3,15,1,13,9,16,17,9,33,23,43,20,18,44,26,9,6,10,8,22,14,9,20,34,2,8,7,61,5,26,1997
Livestock and poultry: Layers inventory number,(D),1308,(D),404,(D),258,725,-,(D),581,(D),284,77,-,(D),55,(D),(D),(D),(D),491,(D),(D),(D),298,945,(D),384,779,396,(D),(D),(D),(D),(D),(D),(D),(D),528,(D),(D),323,978,(D),(D),1997
Livestock and poultry: Broilers and other meat-type chickens sold farms,55,2,2,1,3,2,2,-,1,-,1,-,-,-,9,-,-,-,-,-,-,-,-,5,3,-,-,3,4,1,-,1,-,2,2,-,-,1,2,-,-,-,6,-,2,1997
Livestock and poultry: Broilers and other meat-type chickens sold number,6043,(D),(D),(D),31,(D),(D),-,(D),-,(D),-,-,-,3085,-,-,-,-,-,-,-,-,238,198,-,-,93,140,(D),-,(D),-,(D),(D),-,-,(D),(D),-,-,-,1208,-,(D),1997
Selected crops harvested: Wheat for grain farms,5199,133,6,97,37,42,375,10,2,4,210,51,55,11,432,106,281,15,33,4,51,147,163,76,88,211,204,242,38,196,-,110,52,169,233,175,135,115,136,179,-,20,414,4,137,1997
Selected crops harvested: Wheat for grain acres,1410978,10541,200,35110,2766,29431,147789,2837,(D),(D),78403,17442,12689,2101,37848,40857,107118,14907,9106,645,19124,23777,37938,3981,12692,62283,57470,30452,11211,90706,-,64367,16665,45270,49354,89990,38354,12380,9665,119182,-,4529,48309,652,12454,1997
Selected crops harvested: Wheat for grain bushels,108941849,1081236,10517,1811893,101782,1614382,14901564,220820,(D),(D),5193225,927625,1077132,71434,4234738,2152910,9534177,1272880,436644,59734,1921617,1108625,3085198,382760,1258868,3726933,5127285,3193473,642829,5759698,-,3497755,1639814,3844811,5210100,5922902,1300999,1223329,857337,7825754,-,230173,5421381,33666,1014644,1997
Selected crops harvested: Barley for grain farms,4178,73,12,100,131,27,155,65,8,4,247,33,97,39,171,166,174,10,31,25,22,215,175,28,52,176,232,116,15,141,13,88,68,176,205,110,127,55,27,42,-,95,382,1,49,1997
Selected crops harvested: Barley for grain acres,711504,2855,312,10282,10306,4504,20118,17270,300,(D),58096,6223,14180,13549,6164,74912,31182,2217,6058,2386,3007,16627,66462,878,5032,28872,36561,13156,1657,18615,487,21851,8240,47500,31063,21134,19374,4394,718,6729,-,43906,30230,(D),3160,1997
Selected crops harvested: Barley for grain bushels,54317070,233955,16974,512035,541106,302711,1983056,1513992,19594,(D),4594275,405640,1282435,418916,585336,5179361,3157595,196110,331159,163385,284168,1211900,4658170,73278,423583,1738752,3400578,1454111,100673,1177324,32945,1292117,853912,3766078,3443947,1280687,879623,419654,60324,315318,-,2453864,3347878,(D),180755,1997
"Selected crops harvested:  Dry edible beans, excluding chickpeas and limas farms",1138,30,-,-,-,-,-,-,-,-,-,-,-,1,194,-,67,-,4,-,15,2,-,8,32,2,-,128,-,9,-,-,5,-,79,30,-,46,17,-,-,-,459,-,10,1997
"Selected crops harvested:  Dry edible beans, excluding chickpeas and limas acres",92743,1507,-,-,-,-,-,-,-,-,-,-,-,(D),11353,-,5065,-,218,-,2311,(D),-,261,1488,(D),-,12998,-,1135,-,-,156,-,6733,4561,-,3860,527,-,-,-,39664,-,441,1997
"Selected crops harvested:  Dry edible beans, excluding chickpeas and limas cwt",2036315,36023,-,-,-,-,-,-,-,-,-,-,-,(D),252342,-,98760,-,2741,-,56651,(D),-,6363,30294,(D),-,274817,-,15890,-,-,3766,-,140371,74736,-,97860,19631,-,-,-,907900,-,9335,1997
"Selected crops harvested:Potatoes, excluding sweetpotatoes farms",1402,13,-,11,-,1,191,6,-,3,98,5,16,1,95,25,137,4,2,5,32,2,108,1,36,-,54,85,5,1,-,-,14,120,101,3,2,34,15,74,-,23,71,3,5,1997
"Selected crops harvested:Potatoes, excluding sweetpotatoes acres",394977,478,-,3449,-,(D),63344,848,-,(D),31777,90,2221,(D),8563,5823,31219,(D),(D),507,11324,(D),32192,(D),12099,-,29512,18367,266,(D),-,-,4147,40045,23812,(D),(D),5236,1694,31386,-,7166,18908,225,1317,1997
"Selected crops harvested:Potatoes, excluding sweetpotatoes cwt",135578736,190535,-,1182048,-,(D),20935446,278954,-,(D),8696639,21595,557316,(D),3596706,1583234,12281774,(D),(D),151960,5049693,(D),9745286,(D),4738623,-,9904543,7545866,(D),(D),-,-,1691328,11525705,9275578,(D),(D),2336181,706240,10693559,-,1713307,7432982,80250,493404,1997
Selected crops harvested: Sugar beets for sugar farms,921,27,-,-,-,-,58,2,-,-,-,-,-,-,133,-,167,-,-,-,18,-,-,3,29,-,-,75,-,-,-,-,28,-,169,-,-,33,21,44,-,-,90,1,23,1997
Selected crops harvested: Sugar beets for sugar acres,195651,3232,-,-,-,-,17589,(D),-,-,-,-,-,-,12577,-,38914,-,-,-,10280,-,-,(D),4195,-,-,13983,-,-,-,-,9634,-,41630,-,-,6079,3181,15451,-,-,14226,(D),1835,1997
Selected crops harvested: Sugar beets for sugar tons,5078013,100465,-,-,-,-,452562,(D),-,-,-,-,-,-,378447,-,936026,-,-,-,318038,-,-,3780,113943,-,-,365942,-,-,-,-,237433,-,1017405,-,-,164040,105966,388330,-,-,377301,(D),54581,1997
"Selected crops harvested: Haymalfalfa, other tame, small grain, wild,grass silage, green chop, etc, farms",11960,674,172,334,302,87,528,125,35,283,377,167,137,74,969,190,376,37,124,167,171,419,235,296,357,410,471,369,313,271,197,83,196,236,304,140,226,350,283,102,19,167,858,52,277,1997
"Selected crops harvested: Haymalfalfa, other tame, small grain, wild,grass silage, green chop, etc, acres",1260010,28677,14756,24303,50483,4805,61271,21615,2751,18117,33657,10733,28498,41581,46456,32073,60673,22610,9177,32122,39899,39864,20027,15199,40173,41025,72903,37490,17252,17540,46392,6335,21172,15890,21914,10236,26344,69604,13271,8781,852,21914,71923,4511,35141,1997
"Selected crops harvested: Haymalfalfa, other tame, small grain, wild,grass silage, green chop, etc. tons, dry",4395396,111209,30943,73501,100944,7465,237380,74127,8438,29436,115049,29436,105523,67422,223375,86471,250118,89543,14101,86364,199404,128289,59981,48026,192465,73653,307411,200688,27786,34882,116741,12191,76832,57347,111425,21640,83330,281300,55966,34846,934,46322,370874,9770,102448,1997
