Item,ID,Ada,Adams,Bannock,BearLake,Benewah,Bingham,Blaine,Boise,Bonner,Bonneville,Boundary,Butte,Camas,Canyon,Caribou,Cassia,Clark,Clearwater,Custer,Elmore,Franklin,Fremont,Gem,Gooding,Idaho,Jefferson,Jerome,Kootenai,Latah,Lemhi,Lewis,Lincoln,Madison,Minidoka,NezPerce,Oneida,Owyhee,Payette,Power,Shoshone,Teton,TwinFalls,Valley,Washington,year
Farms number,22314,1221,279,664,410,226,1168,195,78,501,787,312,207,98,1898,427,729,83,210,268,301,655,493,552,675,661,773,683,598,659,308,182,281,470,674,383,387,570,564,323,44,270,1439,119,489,1997
Land in farms acres,11830167,231188,200480,309281,221717,125988,796065,214985,45461,98662,449426,72685,129639,127514,354919,469381,656658,215301,73103,147913,355590,246127,334151,182981,220362,649851,332535,193921,130843,325484,196584,193582,131473,222817,206882,339476,271108,682860,148467,424085,4100,132678,456378,64282,443184,1997
Average size of farm acres ,530,189,719,466,541,557,682,1102,583,197,571,233,626,1301,187,1099,901,2594,348,552,1181,376,678,331,326,983,430,284,219,494,638,1064,468,474,307,886,701,1198,263,1313,93,491,317,540,906,1997
Median size of farm acres,100,18,90,72,239,160,70,160,175,69,80,80,277,890,40,400,202,727,158,194,150,158,162,47,67,300,78,90,55,160,201,668,226,101,80,266,320,160,40,760,54,202,88,160,142,1997
Value of land and buildings: Average per farm dollars ,536521,361757,535367,256923,341250,506572,650923,1445677,519265,357401,504164,399627,491839,831792,398578,662931,917627,1369548,309911,596364,681544,288891,567677,381737,495833,625124,512550,565847,405762,512248,512340,821575,429786,948583,537948,877422,438588,705265,315078,1069055,326062,822427,494326,729404,503627,1997
Value of land and buildings: Average per acre dollars ,1017,1891,651,658,634,960,932,1361,891,1781,800,1892,775,639,2225,578,932,528,1198,1155,626,869,882,910,1567,686,1186,1915,2203,955,830,781,1030,1824,1856,901,638,623,1153,916,3499,1631,1548,1513,550,1997
Estimated market value of all machinery and equipment : Average per farm dollars,77916,40373,32844,42728,33682,59547,105018,70148,33948,25946,84644,36698,84826,73401,65304,76026,155405,158662,30486,48408,142210,64388,111685,37920,101305,55442,87375,124469,44913,57611,55650,100345,87534,118160,128936,114281,52900,70925,53890,246119,18369,75409,77701,38323,62176,1997
Farms by size: 1 to 9 acres ,3092,368,25,118,24,15,185,19,12,37,108,33,11,4,391,17,95,2,9,28,43,84,55,89,111,34,112,108,88,39,35,7,11,75,129,51,14,71,92,22,3,15,224,16,63,1997
Farms by size:10 to 49 acres ,5621,495,89,174,59,44,336,42,8,180,238,83,33,6,679,48,128,5,42,43,61,120,104,190,191,104,212,177,199,136,69,16,41,114,157,53,61,97,218,34,19,45,327,27,117,1997
Farms by size:50 to 179 acres ,4757,214,52,120,93,67,224,42,19,144,139,109,39,13,420,78,129,12,70,57,56,148,92,152,162,134,175,131,137,167,45,34,76,88,135,61,65,129,156,36,18,65,351,22,81,1997
