Item,Date,Ada,Adams,Bannock,Bear Lake,Benewah,Bingham,Blaine,Boise,Bonner,Bonneville,Boundary,Butte,Camas,Canyon,Caribou,Cassia,Clark,Clearwater,Custer,Elmore,Franklin,Fremont,Gem,Gooding,Idaho,Jefferson,Jerome,Kootenai,Latah,Lemhi,Lewis,Lincoln,Madison,Minidoka,Nez Perce,Oneida,Owyhee,Payette,Power,Shoshone,Teton,Twin Falls,Valley,Washington,year
Climate,11/1/1987,-4.426092223,-4.932680454,-2.89672594,-2.114066073,-4.351619156,-3.265005752,-3.54980019,-5.230670143,-4.009759002,-3.310812602,-4.086753695,-2.795602585,-4.402555343,-3.963906205,-2.776548805,-2.646169561,-2.716981992,-4.316935201,-3.659993488,-4.797814498,-2.158647705,-3.775474234,-4.782093178,-3.891589677,-4.739964166,-2.756606735,-3.597338704,-4.3779823,-4.318767304,-3.373851299,-4.376927323,-3.41787244,-3.856567028,-3.252785724,-4.324371958,-2.280390591,-3.528954223,-4.069983074,-2.878095515,-4.410986631,-3.552222044,-3.472044142,-4.87206134,-4.322874165,1987
Climate,12/1/1987,-4.498118929,-4.963000493,-2.870101582,-2.007005399,-4.320691376,-3.285093916,-3.587935115,-5.188435956,-4.097177996,-3.235523872,-4.317740287,-2.728912621,-4.343559571,-4.025088553,-2.691006836,-2.647904556,-2.367553723,-4.522455521,-3.508441937,-4.75582432,-2.069869211,-3.774353738,-4.74878067,-3.870916882,-4.834916201,-2.572775658,-3.594416759,-4.223544496,-4.475505844,-3.041083483,-4.562330681,-3.564737581,-3.745535506,-3.366182572,-4.299274722,-2.348106208,-3.517043424,-4.05663628,-2.961974235,-4.729561918,-3.535886883,-3.296759417,-4.931006765,-4.28593434,1987
Climate,1/1/1988,-4.335411593,-5.14134312,-2.756848735,-1.908682102,-4.651869208,-3.217699577,-3.615655103,-5.212171289,-4.302673933,-3.13050789,-4.519513859,-2.773247136,-4.466009071,-3.867865032,-2.541846535,-2.663729244,-2.498066066,-5.051931652,-3.572750178,-4.810669349,-2.006364205,-3.867789027,-4.676178685,-4.075097682,-5.146982036,-2.526945245,-3.810681351,-4.550533072,-4.817541166,-3.295219217,-4.857681804,-3.718393471,-3.633079177,-3.498562676,-4.311667802,-2.451213117,-3.303916093,-4.036290624,-2.973608362,-5.147298403,-3.57376886,-3.274288612,-5.125861601,-4.321109896,1988
Climate,2/1/1988,-4.958661888,-5.391736643,-3.181643439,-2.351959903,-4.989312159,-3.596901604,-4.057181786,-5.544260666,-4.611710911,-3.431349702,-4.81929954,-3.220101054,-4.831119872,-4.372263829,-2.92722489,-3.070521261,-2.85244341,-5.15015927,-3.879480744,-5.340381577,-2.452856218,-4.144664336,-5.107488404,-4.769534901,-5.246960089,-2.901063511,-4.455077358,-4.91357813,-5.322369045,-3.406147251,-5.264664504,-4.222738927,-3.949764725,-3.963556012,-4.775256316,-2.950536508,-3.674519445,-4.467584411,-3.400021998,-5.133537977,-3.79868032,-3.779408247,-5.338328346,-4.613067479,1988
Climate,3/1/1988,-5.610391389,-5.527551029,-3.199230545,-2.318737845,-4.341469317,-3.640831587,-3.926600026,-5.525513181,-4.169724729,-3.322554675,-4.150660511,-3.19222323,-4.489078143,-5.1817539,-2.953091949,-3.222845982,-2.87928023,-4.311477709,-3.7790116,-5.439231323,-2.448332499,-3.935792032,-5.46244615,-5.154194872,-4.895171692,-2.733475407,-4.910624015,-4.488925513,-4.60318397,-3.307776597,-4.674814913,-4.313743182,-3.772737524,-4.204005288,-4.150778827,-2.976097675,-3.918244218,-4.898884748,-3.464786891,-4.262426523,-3.639289095,-4.117754538,-5.217551821,-5.016615847,1988
Climate,4/1/1988,-5.581123298,-4.979039544,-3.417314613,-2.650551741,-3.561241228,-3.917678424,-3.606207883,-5.093368625,-3.298621117,-3.258858116,-3.458711908,-3.167007284,-3.968216619,-5.0870193,-3.116029694,-3.338332096,-2.909943125,-3.844243317,-3.452680854,-5.150803688,-2.712390213,-3.599813506,-5.285902248,-5.070175535,-4.415114795,-2.985510272,-4.981136,-3.59541312,-3.97906439,-3.006832824,-4.165138109,-4.358074787,-3.492245907,-4.29225307,-3.773387218,-3.174806898,-3.769539457,-4.963979205,-3.713904263,-3.696440725,-3.360051153,-4.195361201,-4.77537488,-4.691780257,1988
Climate,5/1/1988,-5.383656717,-4.441171498,-3.96938043,-3.278045565,-3.098376652,-4.177935593,-3.316048758,-4.664006521,-3.085259414,-3.510923613,-3.252873882,-3.365506028,-3.432695268,-4.781425902,-3.606652985,-3.057871413,-3.205127208,-3.197300044,-3.269349169,-4.64854676,-3.242415085,-3.521159566,-5.11537455,-4.239819744,-3.748662145,-3.317814832,-4.033205911,-3.246822426,-3.454552079,-2.8212486,-3.688697821,-3.650707655,-3.767235766,-3.770291597,-3.546439348,-3.548876472,-3.334844769,-4.709304149,-3.886495647,-3.216596919,-3.344431916,-3.398984144,-4.09321348,-4.469856352,1988
Climate,6/1/1988,-5.369413154,-3.819613492,-4.486521296,-3.850984993,-2.65306161,-4.821301867,-3.761285205,-4.643343981,-2.654513536,-4.385756587,-2.823260016,-4.107630954,-3.710238791,-4.653389199,-4.266341852,-3.671666221,-4.24979103,-2.782630759,-3.689129792,-4.777304192,-3.740092311,-4.46268966,-4.89155301,-4.462670386,-3.31801793,-4.340906491,-4.310586502,-2.844529191,-2.912202715,-3.267953865,-3.113486449,-3.98518473,-4.71370688,-4.21182363,-3.152247739,-4.08456524,-3.618235334,-4.430025219,-4.395515147,-2.88660304,-4.266959119,-3.824895858,-3.711022194,-4.002257985,1988
Climate,7/1/1988,-5.273428518,-3.666312501,-4.920681703,-4.463889924,-2.102526935,-5.213643883,-4.172960034,-4.823241009,-2.50561611,-4.94596588,-2.83518735,-4.682927756,-4.068140328,-4.532225035,-4.835513193,-4.085857939,-4.813379491,-2.384781857,-4.323550433,-4.868999936,-4.264040186,-4.953937011,-4.773635573,-4.533359494,-3.285894482,-4.841551337,-4.364778524,-2.494955147,-2.376220251,-4.014474115,-2.62487101,-4.126701705,-5.171521427,-4.400001133,-2.863052973,-4.473761989,-3.794397392,-4.29166983,-4.750163943,-2.421330478,-4.918551074,-4.093943751,-3.842680151,-3.917211029,1988
Climate,8/1/1988,-5.327000771,-3.848549431,-5.071468304,-4.666575035,-2.642350107,-5.457348897,-4.526247611,-4.987271992,-3.003977629,-5.337333603,-3.289011123,-5.110167008,-4.370473856,-4.722348395,-5.100653045,-4.558002835,-5.297211374,-2.872956081,-4.733793573,-5.000093028,-4.372078049,-5.421775389,-4.869833402,-4.721167774,-3.782723145,-5.23034074,-4.576591736,-3.029029686,-2.849898,-4.595158304,-3.168612878,-4.404703016,-5.581786301,-4.734475587,-3.396616524,-4.613815275,-4.109069261,-4.428090554,-5.027121824,-2.933782152,-5.416444112,-4.431223211,-4.11896499,-4.055778307,1988
Climate,9/1/1988,-5.32980596,-3.969515645,-5.298682327,-4.908625972,-2.33814623,-5.718790499,-4.654589351,-5.054192553,-2.591267424,-5.658508294,-2.718649855,-5.323934697,-4.428479051,-4.830905119,-5.388263173,-4.725064319,-5.453724152,-2.8097034,-4.974480819,-4.964565075,-4.604800226,-5.636299349,-4.929118002,-4.636047666,-3.814529499,-5.52282124,-4.538755586,-2.687487447,-2.517592523,-4.818827608,-2.862867947,-4.39344325,-5.877036516,-4.807205298,-3.046938743,-4.83681819,-4.150658562,-4.524303338,-5.248474226,-2.853915268,-5.725709355,-4.435562212,-4.307406256,-4.171688994,1988
Climate,10/1/1988,-5.716817821,-4.54008735,-5.822673843,-5.574873928,-2.780373988,-6.121851693,-4.99867113,-5.537578617,-2.975390351,-6.163956484,-3.067086583,-5.505409128,-4.810133131,-5.315920429,-5.969028681,-5.180040474,-5.829598459,-3.109799747,-5.317683335,-5.348605981,-5.297558748,-6.130134304,-5.427570684,-5.044975279,-4.125265107,-5.840791576,-5.013732491,-3.107013978,-2.933402116,-5.069362473,-3.216885465,-4.770223503,-6.3631123,-5.192599828,-3.433332043,-5.36172456,-4.651945581,-5.032868359,-5.692697498,-3.240975241,-6.251465663,-4.925623247,-4.870776233,-4.733971717,1988
Climate,11/1/1988,-3.560406392,-2.846998346,-4.254445711,-4.183506894,-1.850565574,-4.257317828,-2.961933348,-3.455083626,-2.239598896,-4.231026528,-2.390592945,-3.809076142,-2.521230052,-3.24977322,-4.393380625,-3.348365651,-4.31121695,-2.431233662,-3.751845307,-3.015808498,-3.952006891,-4.125504189,-3.30120937,-2.338132791,-3.242411254,-4.057031822,-2.391632771,-2.17084165,-2.010233466,-3.994994341,-2.410903476,-2.130962113,-4.32614809,-2.841131943,-2.49709985,-3.840181435,-2.468101301,-2.914838437,-3.982579418,-2.617367949,-4.280355725,-2.61504011,-3.296741257,-2.745475413,1988
Climate,12/1/1988,-2.944031365,-2.553637377,-3.855304139,-3.967928725,-2.194351458,-3.744348073,-2.65864889,-2.975727533,-2.303841518,-3.754058675,-2.390297319,-3.415233584,-2.153264978,-2.490115655,-4.054352673,-3.050437474,-3.940859729,-2.833522591,-3.521070161,-2.519343955,-3.642896535,-3.578729024,-2.667048855,-1.955494061,-3.427291347,-3.627375126,-2.087029543,-2.347259947,-2.38090393,-3.954958699,-2.745174949,-2.043439821,-3.8633962,-2.545431301,-2.770713546,-3.386969834,-2.054523636,-2.159522787,-3.569976345,-2.937617342,-3.805455033,-2.295442105,-3.134079673,-2.125016117,1988
Climate,1/1/1989,-2.25672134,-1.938807432,-3.698312864,-3.865525926,-2.081984018,-3.351427751,-2.598226175,-2.402271946,-2.197544528,-3.142479926,-2.374214653,-3.082006122,-1.87699728,-1.718187232,-3.849120582,-3.063397244,-2.941660702,-2.665143719,-3.102269179,-2.051011977,-3.489359131,-2.461567987,-1.949977139,-1.832804184,-3.052768167,-2.986158097,-2.120561755,-2.28920646,-2.003100031,-3.319375235,-2.280487226,-2.175781251,-3.059589878,-2.632832888,-2.095472402,-3.226458383,-1.840879413,-1.478442743,-3.517307002,-2.634857562,-2.916806235,-2.154305211,-2.593190435,-1.522695427,1989
Climate,2/1/1989,-1.437350029,-1.766160481,-3.192325998,-3.182760274,-2.28115052,-2.883100538,-2.636812637,-2.177833963,-2.582008912,-2.569426834,-2.762971387,-2.747853025,-2.033575363,-0.682703342,-3.300143081,-2.843476261,-2.347374103,-2.803726718,-2.903173836,-1.809605157,-2.893834528,-2.140907961,-1.22118909,-1.731238581,-2.928530024,-2.383602496,-1.972779529,-2.49380686,-1.973776886,-2.837060898,-2.101051001,-2.263342736,-2.389610723,-2.51741188,-1.700565222,-2.854652639,-1.443382758,0.844769944,-3.251427079,-3.015034652,-2.466871899,-1.840259989,-2.591162832,-0.501073369,1989
Climate,3/1/1989,3.191814776,1.015701904,-2.364999008,-2.182234391,-0.874733015,-2.135561273,-1.524022375,-0.425493235,-1.257343318,-1.445648021,-1.598656843,-2.006765817,0.20730262,3.981411955,-2.177184379,-1.903697283,-0.970055357,-1.136440065,-2.063303258,1.243474271,-2.132588043,0.921101185,3.253644544,2.130634636,-1.390178812,-1.780792396,1.092148804,-1.123631017,-0.107050073,-2.025105671,-0.350067347,-0.897377493,-1.261061566,-1.543739985,0.818255712,-2.224159046,1.534003367,3.736028962,-2.504043744,-1.558828535,-0.774505605,0.984586085,-1.326339718,3.03573736,1989
Climate,4/1/1989,3.932482828,0.351281579,-2.766489034,-2.585021263,-1.280104906,-2.582178374,-2.033821135,-0.95152485,-1.293866998,-1.957220177,-1.632746272,-2.413713027,-0.442331441,4.595633706,-2.772952864,-2.405476572,-1.262502181,-1.604532703,-2.557832177,1.122504049,-2.489678128,0.394269524,2.921149085,2.343408815,-1.92477086,-1.909710902,1.710506508,-1.26725386,-0.836439822,-2.474650661,-0.967234177,-0.688537258,-1.493652116,-1.895214493,0.325125178,-2.691587982,1.153750265,4.032942591,-2.983626152,-1.861518562,-1.355691095,0.708257241,-1.942105094,2.609978283,1989
Climate,5/1/1989,3.477526,0.468770688,-3.315385278,-2.949304436,-0.654518125,-2.998255832,-2.380999733,-1.110943461,-0.236524189,-2.299281581,-0.858268351,-2.73948403,-1.103656557,3.76302229,-3.308507208,-2.809414603,-1.521242055,-1.006103639,-2.726279514,0.624569401,-2.889276415,0.346530803,2.561520084,1.698053112,-1.462388667,-2.202542179,1.154158418,-0.326965926,0.339232923,-2.658644656,0.319040898,-0.938678276,-1.608369262,-2.162347879,1.597504331,-3.074497515,0.532057434,3.43612368,-3.387467705,-1.28074123,-1.370600017,0.095655245,-1.840870564,2.279275192,1989
Climate,6/1/1989,2.543306833,-0.048201646,-3.453428286,-3.013303858,-1.030545524,-3.319138985,-2.820001107,-1.788075043,-0.605595877,-2.685740536,-1.081670314,-3.154506796,-2.18980712,2.828283127,-3.523324938,-3.255260538,-2.051724868,-1.094798699,-3.210340279,-0.437449513,-2.954859676,-0.053218072,1.562847412,0.805566603,-1.559774929,-2.641243607,0.323536365,-0.805031862,-0.045119918,-3.248991444,0.331832849,-1.506902627,-2.013997711,-2.613485984,1.515433953,-3.223185174,-0.744986959,2.612860947,-3.623219234,-1.529676019,-1.714910857,-0.863398709,-2.405148586,1.594274964,1989
Climate,7/1/1989,2.03579584,-1.040867893,-3.671582372,-3.368025855,-1.302299629,-3.511591529,-2.999975979,-2.20844841,-1.178955073,-3.036632372,-1.446794736,-3.329227721,-2.455072875,2.24491342,-3.835238225,-3.294742856,-2.349554284,-1.085798392,-3.351357735,-0.777478771,-3.250782948,-0.656695258,0.833320489,0.320582858,-1.532155337,-2.796834973,-0.464031141,-1.21066835,-0.526907758,-3.103028176,0.169377911,-1.787427538,-2.317025109,-2.645772539,1.129884328,-3.412464278,-1.178932595,2.058949225,-3.713174769,-1.602153815,-2.268095846,-1.316580626,-2.759058516,0.800675523,1989
Climate,8/1/1989,2.030555374,0.459982962,-3.429700819,-3.2525242,1.58379414,-3.193731836,-2.481641669,-1.751888154,1.317996997,-2.774245292,1.314304096,-2.71061124,-2.086318265,2.347096917,-3.601292174,-2.59174872,-1.72077708,0.8836395,-2.588021495,-0.620767324,-3.110059827,-0.409541249,1.177785778,0.471977754,0.086092376,-2.406515496,-0.121393917,1.367033084,1.81215981,-2.040997931,2.061047548,-1.341429761,-2.098642383,-2.067419611,2.86492184,-3.087238319,-0.904948316,2.301587971,-3.226567089,1.001435914,-2.009286186,-0.880934028,-1.900090578,1.550241815,1989
Climate,9/1/1989,1.914780993,0.595288601,-3.579202736,-3.314942397,1.20467673,-3.273255019,-2.480385226,-1.635395503,0.736945323,-2.865904668,0.701775579,-2.623102021,-2.089086946,2.352217015,-3.706739722,-2.915748389,-1.95577938,0.719496682,-2.543308871,-0.744499868,-3.251949693,-1.326881487,1.278638767,0.019449706,-0.128605556,-2.42393893,-1.02339445,0.923233077,1.413603253,-2.343418954,1.655397886,-1.597768106,-2.236599524,-2.284930639,2.339071347,-3.303226108,-0.888962888,2.328969984,-3.448001476,0.884876978,-2.158747452,-1.445403014,-1.804785642,1.640302716,1989
Climate,10/1/1989,2.063363142,0.518313998,-3.350812733,-3.185773654,1.212185284,-2.806895982,-1.471790565,-1.124714124,0.787871547,-2.421164453,0.533427288,-1.712578968,-1.113870155,2.260722839,-3.45346718,-2.371301719,-0.358844677,0.556566285,-1.543426012,-0.105973838,-3.096485381,-0.394882679,1.38713861,0.919861807,-0.258239852,-1.662814659,0.47241018,1.024706924,1.237121478,-1.428758791,1.325675355,-0.433198191,-1.757623836,-1.55365312,1.958455337,-3.09920291,-0.102026961,2.116683459,-3.115236239,0.878960164,-1.67021715,-0.356633461,-1.485198235,1.449208256,1989
Climate,11/1/1989,0.936790176,-1.108456466,-3.450736401,-3.254289829,1.019843569,-3.001688474,-2.052496216,-2.024835851,0.724858356,-2.535710773,0.333222794,-2.215648191,-1.824941297,1.200239124,-3.484132748,-2.65511364,-1.251652439,0.161725072,-2.225566241,-1.198560694,-3.26573503,-0.936661734,-0.117409641,-0.542285078,-1.183666166,-1.994655816,-0.852086823,1.115765783,0.398454571,-2.24721605,0.108755956,-1.398786589,-1.949036921,-2.039847125,1.075544982,-3.324013478,-1.063969558,0.8927411,-3.309414476,1.086464529,-1.820642951,-1.273526589,-2.323616163,-0.530324718,1989
Climate,12/1/1989,-2.063091972,-2.68486222,-4.153507105,-3.790917227,-0.657175603,-3.754748786,-2.956941839,-3.266125737,-0.413243422,-3.306415699,-0.695713521,-3.054142977,-2.903332411,-2.023173598,-4.152420969,-3.297751925,-2.096874249,-1.268179657,-3.197950093,-2.773822752,-3.907149235,-1.838094881,-2.404139911,-2.159326994,-2.426274811,-2.736699491,-1.931735,-0.097337859,-1.509745172,-3.055977452,-1.786987163,-2.312367348,-2.741683573,-2.858953241,-1.306736839,-4.056389229,-2.157357666,-2.317932667,-4.001356278,0.372227841,-2.602829479,-2.283181337,-3.568183505,-2.566924889,1989
Climate,1/1/1990,-3.224312456,-3.678955413,-4.429466826,-3.852707699,-0.00418061,-4.032037831,-3.453396991,-4.023487208,1.349621986,-3.531449896,1.319152985,-3.473924108,-3.47058096,-3.223556033,-4.326540521,-3.454163995,-2.337091105,-1.216493919,-3.728829682,-3.438472245,-4.126337672,-1.897058325,-3.499395865,-2.679338678,-3.089848684,-2.931841897,-2.41530092,0.853990534,-1.713199681,-3.595043242,-2.31735511,-2.920007432,-2.877230852,-3.284376106,-2.328870691,-4.298180645,-2.860469509,-3.400560944,-4.226330317,1.381815699,-2.822944919,-2.59543466,-4.420031442,-3.591000956,1990
Climate,2/1/1990,-3.051460811,-4.276932126,-4.969386445,-4.302142064,-0.476215727,-4.546533502,-3.963418551,-4.549057834,1.339279905,-4.047817791,1.307662428,-4.105388128,-4.063920973,-3.025729535,-4.872188543,-3.70027621,-2.907744212,-1.4945457,-4.210322453,-3.684180934,-4.581555823,-2.193429369,-3.81526018,-2.850396734,-3.409061359,-3.465312026,-2.666431353,0.77897858,-1.991301791,-4.118753532,-2.732659582,-3.40848165,-3.317853694,-3.649892966,-2.757875309,-4.758111736,-2.693917119,-3.42692575,-4.646582422,0.992992855,-3.113384614,-2.777794525,-4.825198276,-3.987795283,1990
Climate,3/1/1990,-3.920399888,-4.750717111,-5.51898072,-4.748892485,-1.520398139,-5.255631829,-4.344816271,-5.040045898,-0.282523535,-4.41820727,-0.266076568,-4.629023045,-4.503951015,-3.869609038,-5.169473555,-4.236428314,-3.418740344,-2.141953429,-4.413683225,-4.370116424,-5.157502298,-2.563503359,-4.35913763,-3.683747863,-3.807447153,-4.557940411,-3.467825988,-0.661509792,-2.666541509,-4.429398465,-3.47712587,-4.158772762,-3.885821573,-4.336261827,-3.432902608,-5.313434617,-3.398343688,-4.078793968,-5.223664969,-0.131347381,-3.19636022,-3.510806875,-5.094172614,-4.336334225,1990
Climate,4/1/1990,-3.728628331,-4.156366015,-5.520827017,-4.736307647,-1.048967933,-5.33711929,-4.157154714,-4.418819901,-0.111591212,-4.329059938,-0.28825641,-4.823887591,-4.282356331,-3.453526209,-4.796579329,-4.037349962,-3.80849971,-1.698838221,-4.120211252,-4.171692965,-5.194603978,-2.701111051,-4.143315345,-3.752788986,-3.475291072,-5.201789632,-3.370091398,-0.272023409,-1.978726563,-4.369974316,-2.782860087,-4.171511222,-4.019649183,-4.054449292,-2.947073173,-5.366327466,-3.203964821,-4.03744729,-5.230220637,0.078544619,-2.989689473,-3.524172076,-4.535320798,-4.108330219,1990
Climate,5/1/1990,-2.618056365,-2.895286743,-5.367158412,-4.745138977,1.560405696,-4.737613751,-3.249878789,-3.319084852,1.345532481,-3.886518157,1.264692079,-3.965819931,-3.456809778,-2.10943427,-4.501953664,-3.585142823,-3.273997691,0.994614556,-2.965103654,-3.345723968,-5.045428094,-2.264408137,-3.334852057,-2.897280702,-2.011248086,-4.510388381,-2.694916992,1.345842699,0.579735921,-3.398300718,-1.237210331,-3.392744662,-3.820684147,-3.354196856,-1.695868066,-5.124750025,-2.178341424,-2.786925497,-4.779275076,1.717975203,-2.374284667,-3.004054433,-2.899763763,-3.149055983,1990
Climate,6/1/1990,-2.720555038,-3.004900804,-5.203359518,-4.706359573,1.828185783,-4.675242755,-2.964467658,-3.311035392,1.815222447,-3.88300112,1.683072331,-3.925855586,-3.07777085,-2.398854977,-4.468133041,-3.639359101,-3.409320445,1.076100311,-2.776776284,-3.127921996,-4.892014199,-2.30991742,-3.555243426,-2.663255278,-2.078360996,-4.571556713,-2.565410297,1.833422266,1.311938875,-3.535688535,-1.125867787,-3.158222818,-3.905670729,-3.265319094,-1.799096675,-4.985706163,-2.160082207,-3.057650388,-4.672071677,1.725776439,-2.314462999,-2.871552905,-2.875551308,-3.234354631,1990
